MD	GR	PHIE	PHI_ALT	DTCO	RHOB	DTS	WELL
3892.205						118.9960022	Well_11
3892.405						119.40920258	Well_11
3892.605						119.73840332	Well_11
3892.805						119.73079681	Well_11
3893.005						119.65000153	Well_11
3893.205						119.7677002	Well_11
3893.405						119.66349792	Well_11
3893.605						119.49030304	Well_11
3893.805						119.59200287	Well_11
3894.005						120.1740036	Well_11
3894.205						120.42410278	Well_11
3894.405						120.59889984	Well_11
3894.605						120.41239929	Well_11
3894.805						120.15390015	Well_11
3895.005						119.89450073	Well_11
3895.205						119.65720367	Well_11
3895.405						119.71749878	Well_11
3895.605						119.86660004	Well_11
3895.805						120.21880341	Well_11
3896.005						120.28739929	Well_11
3896.205						120.20179749	Well_11
3896.405						119.91690063	Well_11
3896.605						119.30760193	Well_11
3896.805						119.40499878	Well_11
3897.005						119.55349731	Well_11
3897.205						119.79049683	Well_11
3897.405						119.82630157	Well_11
3897.605						119.77850342	Well_11
3897.805						119.64620209	Well_11
3898.005						119.60990143	Well_11
3898.205						119.54889679	Well_11
3898.405						119.47499847	Well_11
3898.605						119.55870056	Well_11
3898.805						119.80889893	Well_11
3899.005						120.20760345	Well_11
3899.205						120.37879944	Well_11
3899.405						120.51409912	Well_11
3899.605						120.63159943	Well_11
3899.805						121.00009918	Well_11
3900.005						121.19129944	Well_11
3900.205						121.48449707	Well_11
3900.405						121.6937027	Well_11
3900.605						121.36250305	Well_11
3900.805						121.00939941	Well_11
3901.005						120.52089691	Well_11
3901.205						120.44290161	Well_11
3901.405						120.62129974	Well_11
3901.605						121.5931015	Well_11
3901.805						121.91110229	Well_11
3902.005						122.10279846	Well_11
3902.205						122.00530243	Well_11
3902.405						121.59169769	Well_11
3902.605						120.9917984	Well_11
3902.805						120.60919952	Well_11
3903.005						120.86940002	Well_11
3903.205						121.52359772	Well_11
3903.405						122.33170319	Well_11
3903.605						124.50879669	Well_11
3903.805						126.02010345	Well_11
3904.005						127.16190338	Well_11
3904.205						127.67739868	Well_11
3904.405						127.56839752	Well_11
3904.605						127.270401	Well_11
3904.805						125.06040192	Well_11
3905.005						124.31580353	Well_11
3905.205						124.1894989	Well_11
3905.405						124.80410004	Well_11
3905.605						125.02529907	Well_11
3905.805						126.26709747	Well_11
3906.005						128.42030334	Well_11
3906.205						130.16349792	Well_11
3906.405						132.77400208	Well_11
3906.605						135.84449768	Well_11
3906.805						136.45219421	Well_11
3907.005						136.19859314	Well_11
3907.205						135.62060547	Well_11
3907.405						137.08380127	Well_11
3907.605						139.04840088	Well_11
3907.805						141.020401	Well_11
3908.005						145.77349854	Well_11
3908.205						148.46539307	Well_11
3908.405						150.95849609	Well_11
3908.605						149.63679504	Well_11
3908.805						152.07440186	Well_11
3909.005						157.53840637	Well_11
3909.205						158.7046051	Well_11
3909.405						157.91229248	Well_11
3909.605						156.98989868	Well_11
3909.805						155.54629517	Well_11
3910.005						155.77639771	Well_11
3910.205						155.86380005	Well_11
3910.405						156.09759521	Well_11
3910.605						157.77029419	Well_11
3910.805						157.02879333	Well_11
3911.005						155.18280029	Well_11
3911.205						156.92730713	Well_11
3911.405						158.42469788	Well_11
3911.605						157.93159485	Well_11
3911.805						157.51519775	Well_11
3912.005						158.75590515	Well_11
3912.205						157.65350342	Well_11
3912.405						154.769104	Well_11
3912.605						156.27560425	Well_11
3912.805						155.41529846	Well_11
3913.005						154.00830078	Well_11
3913.205						151.11380005	Well_11
3913.405						152.5328064	Well_11
3913.605						152.54020691	Well_11
3913.805						151.60369873	Well_11
3914.005						155.32980347	Well_11
3914.205						157.29890442	Well_11
3914.405						159.17100525	Well_11
3914.605						159.88139343	Well_11
3914.805						158.85510254	Well_11
3915.005						158.89100647	Well_11
3915.205						160.04989624	Well_11
3915.405						159.7507019	Well_11
3915.605						159.31199646	Well_11
3915.805						157.27090454	Well_11
3916.005						155.81300354	Well_11
3916.205						155.69000244	Well_11
3916.405						156.75720215	Well_11
3916.605						156.26530457	Well_11
3916.805						156.00689697	Well_11
3917.005						153.69500732	Well_11
3917.205						151.57150269	Well_11
3917.405						148.77740479	Well_11
3917.605						146.73350525	Well_11
3917.805						148.11309814	Well_11
3918.005						149.27180481	Well_11
3918.205						152.33369446	Well_11
3918.405						154.75369263	Well_11
3918.605						156.69070435	Well_11
3918.805						156.36169434	Well_11
3919.005						156.78399658	Well_11
3919.205						157.45899963	Well_11
3919.405						158.00349426	Well_11
3919.605						157.46499634	Well_11
3919.805						156.43589783	Well_11
3920.005						156.40420532	Well_11
3920.205						155.60749817	Well_11
3920.405						154.853302	Well_11
3920.605						154.70739746	Well_11
3920.805						156.15010071	Well_11
3921.005						157.60710144	Well_11
3921.205						158.07460022	Well_11
3921.405						157.61010742	Well_11
3921.605						157.97850037	Well_11
3921.805						157.95350647	Well_11
3922.005						157.39100647	Well_11
3922.205						156.27520752	Well_11
3922.405						156.84809875	Well_11
3922.605						156.64810181	Well_11
3922.805						153.18299866	Well_11
3923.005						150.17520142	Well_11
3923.205						148.4407959	Well_11
3923.405						146.36920166	Well_11
3923.605						146.20309448	Well_11
3923.805						147.48249817	Well_11
3924.005						152.94430542	Well_11
3924.205						154.4539032	Well_11
3924.405						153.94299316	Well_11
3924.605						154.1282959	Well_11
3924.805						153.75149536	Well_11
3925.005						152.35960388	Well_11
3925.205						152.0605011	Well_11
3925.405						154.05299377	Well_11
3925.605						152.83450317	Well_11
3925.805						151.37710571	Well_11
3926.005						148.52149963	Well_11
3926.205						146.98669434	Well_11
3926.405						143.91479492	Well_11
3926.605						137.31520081	Well_11
3926.805						135.1914978	Well_11
3927.005						134.14990234	Well_11
3927.205						132.38040161	Well_11
3927.405						131.7651062	Well_11
3927.605						132.17449951	Well_11
3927.805						126.48889923	Well_11
3928.005						120.09880066	Well_11
3928.205						118.34010315	Well_11
3928.405						118.81510162	Well_11
3928.605						117.00779724	Well_11
3928.805						116.71040344	Well_11
3929.005						118.08350372	Well_11
3929.205						121.11519623	Well_11
3929.405						121.29160309	Well_11
3929.605						120.76519775	Well_11
3929.805						119.30709839	Well_11
3930.005						118.93199921	Well_11
3930.205						118.73989868	Well_11
3930.405						118.99590302	Well_11
3930.605						119.28340149	Well_11
3930.805						119.35970306	Well_11
3931.005						119.40731812	Well_11
3931.205						119.33409882	Well_11
3931.405						119.2542038	Well_11
3931.605						119.16549683	Well_11
3931.805						119.13529968	Well_11
3932.005						119.15019989	Well_11
3932.205						119.2071991	Well_11
3932.405						119.30110168	Well_11
3932.605						119.29679871	Well_11
3932.805						119.30190277	Well_11
3933.005						119.3234024	Well_11
3933.205						119.38220215	Well_11
3933.405						119.43640137	Well_11
3933.605						119.51300049	Well_11
3933.805						119.54170227	Well_11
3934.005						119.50980377	Well_11
3934.205						119.42099762	Well_11
3934.405						119.31520081	Well_11
3934.605						119.22730255	Well_11
3934.805						119.14150238	Well_11
3935.005						119.09140015	Well_11
3935.205						119.15709686	Well_11
3935.405						119.13710022	Well_11
3935.605						119.07409668	Well_11
3935.805						119.00530243	Well_11
3936.005						119.0062027	Well_11
3936.205						119.07260132	Well_11
3936.405						119.18689728	Well_11
3936.605						119.44920349	Well_11
3936.805						120.19779968	Well_11
3937.005						120.71029663	Well_11
3937.205						121.11869812	Well_11
3937.405						121.3809967	Well_11
3937.605						121.22109985	Well_11
3937.805						120.94889832	Well_11
3938.005						120.74759674	Well_11
3938.205						120.68039703	Well_11
3938.405						120.84369659	Well_11
3938.605						121.10079956	Well_11
3938.805						122.30210114	Well_11
3939.005						122.97989655	Well_11
3939.205						123.54129791	Well_11
3939.405						124.2303009	Well_11
3939.605						124.34020233	Well_11
3939.805						124.21530151	Well_11
3940.005						123.67430115	Well_11
3940.205						123.47190094	Well_11
3940.405						123.23020172	Well_11
3940.605						123.18250275	Well_11
3940.805						123.16500092	Well_11
3941.005						122.82479858	Well_11
3941.205						122.43389893	Well_11
3941.405						121.80740356	Well_11
3941.605						121.76159668	Well_11
3941.805						121.90110016	Well_11
3942.005						121.96479797	Well_11
3942.205						121.77100372	Well_11
3942.405						121.44120026	Well_11
3942.605						120.77420044	Well_11
3942.805						120.44860077	Well_11
3943.005						120.44999695	Well_11
3943.205						120.73590088	Well_11
3943.405						120.89070129	Well_11
3943.605						121.16639709	Well_11
3943.805						121.33209991	Well_11
3944.005						121.57389832	Well_11
3944.205						121.76390076	Well_11
3944.405						121.9312973	Well_11
3944.605						121.84490204	Well_11
3944.805						121.39499664	Well_11
3945.005						120.89430237	Well_11
3945.205						120.20040131	Well_11
3945.405						120.02400208	Well_11
3945.605						119.71970367	Well_11
3945.805						119.3010025	Well_11
3946.005						119.271698	Well_11
3946.205						119.15850067	Well_11
3946.405						119.1242981	Well_11
3946.605						119.14559937	Well_11
3946.805						119.12090302	Well_11
3947.005						118.97440338	Well_11
3947.205						119.28780365	Well_11
3947.405						119.21669769	Well_11
3947.605						118.95690155	Well_11
3947.805						119.69989777	Well_11
3948.005						120.41899872	Well_11
3948.205						121.15309906	Well_11
3948.405						122.1242981	Well_11
3948.605						122.30619812	Well_11
3948.805						122.12390137	Well_11
3949.005						121.21499634	Well_11
3949.205						120.6568985	Well_11
3949.405						120.27189636	Well_11
3949.605						120.22969818	Well_11
3949.805						120.29560089	Well_11
3950.005						119.94069672	Well_11
3950.205						119.43450165	Well_11
3950.405						119.38480377	Well_11
3950.605						119.33879852	Well_11
3950.805						119.31919861	Well_11
3951.005						119.38629913	Well_11
3951.205						119.27809906	Well_11
3951.405						119.27310181	Well_11
3951.605						121.0	Well_11
3951.805						122.00800323	Well_11
3952.005						122.91200256	Well_11
3952.205						124.10359955	Well_11
3952.405						124.1815033	Well_11
3952.605						123.7181015	Well_11
3952.805						122.0401001	Well_11
3953.005						121.45770264	Well_11
3953.205						121.13580322	Well_11
3953.405						121.07350159	Well_11
3953.605						121.27420044	Well_11
3953.805						121.42379761	Well_11
3954.005						121.48600006	Well_11
3954.205						121.24629974	Well_11
3954.405						120.98549652	Well_11
3954.605						120.78369904	Well_11
3954.805						120.63400269	Well_11
3955.005						120.70220184	Well_11
3955.205						121.02490234	Well_11
3955.405						121.71350098	Well_11
3955.605						121.6516037	Well_11
3955.805						121.64710236	Well_11
3956.005						121.3227005	Well_11
3956.205						121.18070221	Well_11
3956.405						120.99710083	Well_11
3956.605						120.79340363	Well_11
3956.805						120.49089813	Well_11
3957.005						120.23390198	Well_11
3957.205						119.96880341	Well_11
3957.405						119.55460358	Well_11
3957.605						119.99259949	Well_11
3957.805						120.5861969	Well_11
3958.005						121.23709869	Well_11
3958.205						121.06430054	Well_11
3958.405						120.59690094	Well_11
3958.605						119.61209869	Well_11
3958.805						119.29470062	Well_11
3959.005						119.18209839	Well_11
3959.205						119.16159821	Well_11
3959.405						119.19879913	Well_11
3959.605						119.18070221	Well_11
3959.805						119.12989807	Well_11
3960.005						119.22869873	Well_11
3960.205						119.0687027	Well_11
3960.405						118.98069763	Well_11
3960.605						118.88079834	Well_11
3960.805						118.87550354	Well_11
3961.005						118.82129669	Well_11
3961.205						118.94709778	Well_11
3961.405						119.12259674	Well_11
3961.605						119.29190063	Well_11
3961.805						119.62110138	Well_11
3962.005						119.73020172	Well_11
3962.205						119.70529938	Well_11
3962.405						119.43299866	Well_11
3962.605						119.2858963	Well_11
3962.805						119.1678009	Well_11
3963.005						119.14029694	Well_11
3963.205						119.4618988	Well_11
3963.405						119.61389923	Well_11
3963.605						119.69100189	Well_11
3963.805						119.42680359	Well_11
3964.005						119.16649628	Well_11
3964.205						118.94239807	Well_11
3964.405						118.81169891	Well_11
3964.605						118.89859772	Well_11
3964.805						119.01679993	Well_11
3965.005						119.23509979	Well_11
3965.205						119.30789948	Well_11
3965.405						119.38030243	Well_11
3965.605						119.60299683	Well_11
3965.805						119.61039734	Well_11
3966.005						119.61370087	Well_11
3966.205						119.65390015	Well_11
3966.405						119.62740326	Well_11
3966.605						119.54720306	Well_11
3966.805						119.50370026	Well_11
3967.005						119.8792038	Well_11
3967.205						120.03790283	Well_11
3967.405						120.11000061	Well_11
3967.605						119.83159637	Well_11
3967.805						119.5911026	Well_11
3968.005						119.3647995	Well_11
3968.205						119.29579926	Well_11
3968.405						119.36489868	Well_11
3968.605						119.49210358	Well_11
3968.805						119.71389771	Well_11
3969.005						119.83969879	Well_11
3969.205						119.86540222	Well_11
3969.405						119.85569763	Well_11
3969.605						119.80180359	Well_11
3969.805						119.77580261	Well_11
3970.005						119.85040283	Well_11
3970.205						120.10929871	Well_11
3970.405						120.10009766	Well_11
3970.605						119.90519714	Well_11
3970.805						119.71849823	Well_11
3971.005						119.86650085	Well_11
3971.205						120.14250183	Well_11
3971.405						121.22740173	Well_11
3971.605						121.70310211	Well_11
3971.805						121.99030304	Well_11
3972.005						121.86440277	Well_11
3972.205						121.48750305	Well_11
3972.405						120.97119904	Well_11
3972.605						120.3864975	Well_11
3972.805						119.93060303	Well_11
3973.005						120.27839661	Well_11
3973.205						120.93060303	Well_11
3973.405						121.73860168	Well_11
3973.605						121.86730194	Well_11
3973.805						121.62400055	Well_11
3974.005						120.63279724	Well_11
3974.205						120.0664978	Well_11
3974.405						119.76439667	Well_11
3974.605						119.6631012	Well_11
3974.805						119.56150055	Well_11
3975.005						119.53289795	Well_11
3975.205						119.25189972	Well_11
3975.405						119.26110077	Well_11
3975.605						119.25879669	Well_11
3975.805						119.1147995	Well_11
3976.005						119.23310089	Well_11
3976.205						119.33390045	Well_11
3976.405						119.23329926	Well_11
3976.605						119.10820007	Well_11
3976.805						119.24960327	Well_11
3977.005						119.25849915	Well_11
3977.205						119.18979645	Well_11
3977.405						119.11730194	Well_11
3977.605						119.18540192	Well_11
3977.805						119.93609619	Well_11
3978.005						120.67620087	Well_11
3978.205						121.40579987	Well_11
3978.405						121.73190308	Well_11
3978.605						121.28549957	Well_11
3978.805						120.48609924	Well_11
3979.005						119.68039703	Well_11
3979.205						118.91300201	Well_11
3979.405						118.99500275	Well_11
3979.605						119.16739655	Well_11
3979.805						119.48560333	Well_11
3980.005						119.29239655	Well_11
3980.205						119.12390137	Well_11
3980.405						119.01429749	Well_11
3980.605						119.23549652	Well_11
3980.805						119.29660034	Well_11
3981.005						118.39710236	Well_11
3981.205						118.44629669	Well_11
3981.405						119.01879883	Well_11
3981.605						120.7397995	Well_11
3981.805						121.44860077	Well_11
3982.005						121.96379852	Well_11
3982.205						122.01550293	Well_11
3982.405						120.46790314	Well_11
3982.605						119.37850189	Well_11
3982.805						118.35299683	Well_11
3983.005						117.57649994	Well_11
3983.205						118.50779724	Well_11
3983.405						119.29579926	Well_11
3983.605						118.71199799	Well_11
3983.805						118.76129913	Well_11
3984.005						118.74189758	Well_11
3984.205						119.05660248	Well_11
3984.405						119.29060364	Well_11
3984.605						119.62190247	Well_11
3984.805						118.77880096	Well_11
3985.005						118.64189911	Well_11
3985.205						118.88970184	Well_11
3985.405						118.80269623	Well_11
3985.605						118.93219757	Well_11
3985.805						119.03659821	Well_11
3986.005						119.10320282	Well_11
3986.205						119.46160126	Well_11
3986.405						119.65699768	Well_11
3986.605						119.7539978	Well_11
3986.805						120.03559875	Well_11
3987.005						120.02330017	Well_11
3987.205						119.9469986	Well_11
3987.405						119.73570251	Well_11
3987.605						119.45040131	Well_11
3987.805						119.16190338	Well_11
3988.005						119.12069702	Well_11
3988.205						119.05000305	Well_11
3988.405						118.99140167	Well_11
3988.605						118.94860077	Well_11
3988.805						118.80699921	Well_11
3989.005						118.75810242	Well_11
3989.205						118.68630219	Well_11
3989.405						118.59200287	Well_11
3989.605						118.63410187	Well_11
3989.805						118.80570221	Well_11
3990.005						118.75499725	Well_11
3990.205						118.70149994	Well_11
3990.405						118.72090149	Well_11
3990.605						118.70510101	Well_11
3990.805						118.7213974	Well_11
3991.005						118.72789764	Well_11
3991.205						118.63339996	Well_11
3991.405						118.62470245	Well_11
3991.605						118.64720154	Well_11
3991.805						118.68430328	Well_11
3992.005						118.77359772	Well_11
3992.205						118.79720306	Well_11
3992.405						118.79470062	Well_11
3992.605						118.65200043	Well_11
3992.805						118.49150085	Well_11
3993.005						118.32250214	Well_11
3993.205						118.14559937	Well_11
3993.405						118.10310364	Well_11
3993.605						118.12439728	Well_11
3993.805						118.22810364	Well_11
3994.005						118.32279968	Well_11
3994.205						118.396698	Well_11
3994.405						118.43810272	Well_11
3994.605						118.42240143	Well_11
3994.805						118.43599701	Well_11
3995.005						118.43240356	Well_11
3995.205						118.376297	Well_11
3995.405						118.33439636	Well_11
3995.605						118.23190308	Well_11
3995.805						118.07659912	Well_11
3996.005						117.98799896	Well_11
3996.205						117.94879913	Well_11
3996.405						118.00859833	Well_11
3996.605						117.75469971	Well_11
3996.805						117.32360077	Well_11
3997.005						116.36810303	Well_11
3997.205						115.61109924	Well_11
3997.405						114.66799927	Well_11
3997.605						112.99340057	Well_11
3997.805						112.08399963	Well_11
