MD	GR	PHIE	PHI_ALT	DTS	DTCO	RHOB	WELL
2282.2877							Well_5
2282.4877							Well_5
2282.6877							Well_5
2282.8877							Well_5
2283.0877							Well_5
2283.2877							Well_5
2283.4877							Well_5
2283.6877							Well_5
2283.8877							Well_5
2284.0877							Well_5
2284.2877							Well_5
2284.4877							Well_5
2284.6877							Well_5
2284.8877							Well_5
2285.0877							Well_5
2285.2877							Well_5
2285.4877							Well_5
2285.6877							Well_5
2285.8877							Well_5
2286.0877							Well_5
2286.2877							Well_5
2286.4877							Well_5
2286.6877							Well_5
2286.8877							Well_5
2287.0877							Well_5
2287.2877							Well_5
2287.4877							Well_5
2287.6877							Well_5
2287.8877							Well_5
2288.0877							Well_5
2288.2877							Well_5
2288.4877							Well_5
2288.6877							Well_5
2288.8877							Well_5
2289.0877							Well_5
2289.2877							Well_5
2289.4877							Well_5
2289.6877							Well_5
2289.8877							Well_5
2290.0877							Well_5
2290.2877							Well_5
2290.4877							Well_5
2290.6877							Well_5
2290.8877							Well_5
2291.0877							Well_5
2291.2877							Well_5
2291.4877							Well_5
2291.6877							Well_5
2291.8877							Well_5
2292.0877							Well_5
2292.2877							Well_5
2292.4877							Well_5
2292.6877							Well_5
2292.8877							Well_5
2293.0877							Well_5
2293.2877							Well_5
2293.4877							Well_5
2293.6877							Well_5
2293.8877							Well_5
2294.0877							Well_5
2294.2877							Well_5
2294.4877							Well_5
2294.6877							Well_5
2294.8877							Well_5
2295.0877							Well_5
2295.2877							Well_5
2295.4877							Well_5
2295.6877							Well_5
2295.8877							Well_5
2296.0877							Well_5
2296.2877							Well_5
2296.4877							Well_5
2296.6877							Well_5
2296.8877							Well_5
2297.0877							Well_5
2297.2877							Well_5
2297.4877							Well_5
2297.6877							Well_5
2297.8877							Well_5
2298.0877							Well_5
2298.2877							Well_5
2298.4877							Well_5
2298.6877							Well_5
2298.8877							Well_5
2299.0877							Well_5
2299.2877							Well_5
2299.4877							Well_5
2299.6877							Well_5
2299.8877							Well_5
2300.0877							Well_5
2300.2877							Well_5
2300.4877							Well_5
2300.6877							Well_5
2300.8877							Well_5
2301.0877							Well_5
2301.2877							Well_5
2301.4877							Well_5
2301.6877							Well_5
2301.8877							Well_5
2302.0877							Well_5
2302.2877							Well_5
2302.4877							Well_5
2302.6877							Well_5
2302.8877							Well_5
2303.0877							Well_5
2303.2877							Well_5
2303.4877							Well_5
2303.6877							Well_5
2303.8877							Well_5
2304.0877							Well_5
2304.2877							Well_5
2304.4877							Well_5
2304.6877							Well_5
2304.8877							Well_5
2305.0877							Well_5
2305.2877							Well_5
2305.4877							Well_5
2305.6877							Well_5
2305.8877							Well_5
2306.0877							Well_5
2306.2877							Well_5
2306.4877							Well_5
2306.6877							Well_5
2306.8877							Well_5
2307.0877							Well_5
2307.2877							Well_5
2307.4877							Well_5
2307.6877							Well_5
2307.8877							Well_5
2308.0877							Well_5
2308.2877							Well_5
2308.4877							Well_5
2308.6877							Well_5
2308.8877							Well_5
2309.0877							Well_5
2309.2877							Well_5
2309.4877							Well_5
2309.6877							Well_5
2309.8877							Well_5
2310.0877							Well_5
2310.2877							Well_5
2310.4877							Well_5
2310.6877							Well_5
2310.8877							Well_5
2311.0877							Well_5
2311.2877							Well_5
2311.4877							Well_5
2311.6877							Well_5
2311.8877							Well_5
2312.0877							Well_5
2312.2877							Well_5
2312.4877							Well_5
2312.6877							Well_5
2312.8877							Well_5
2313.0877							Well_5
2313.2877							Well_5
2313.4877							Well_5
2313.6877							Well_5
2313.8877							Well_5
2314.0877							Well_5
2314.2877							Well_5
2314.4877							Well_5
2314.6877							Well_5
2314.8877							Well_5
2315.0877							Well_5
2315.2877							Well_5
2315.4877							Well_5
2315.6877							Well_5
2315.8877							Well_5
2316.0877							Well_5
2316.2877							Well_5
2316.4877							Well_5
2316.6877							Well_5
2316.8877							Well_5
2317.0877							Well_5
2317.2877							Well_5
2317.4877							Well_5
2317.6877							Well_5
2317.8877							Well_5
2318.0877							Well_5
2318.2877							Well_5
2318.4877							Well_5
2318.6877							Well_5
2318.8877							Well_5
2319.0877							Well_5
2319.2877							Well_5
2319.4877							Well_5
2319.6877							Well_5
2319.8877							Well_5
2320.0877							Well_5
2320.2877							Well_5
2320.4877							Well_5
2320.6877							Well_5
2320.8877							Well_5
2321.0877							Well_5
2321.2877							Well_5
2321.4877							Well_5
2321.6877							Well_5
2321.8877							Well_5
2322.0877							Well_5
2322.2877							Well_5
2322.4877							Well_5
2322.6877							Well_5
2322.8877							Well_5
2323.0877							Well_5
2323.2877							Well_5
2323.4877							Well_5
2323.6877							Well_5
2323.8877							Well_5
2324.0877							Well_5
2324.2877							Well_5
2324.4877							Well_5
2324.6877							Well_5
2324.8877							Well_5
2325.0877							Well_5
2325.2877							Well_5
2325.4877							Well_5
2325.6877							Well_5
2325.8877							Well_5
2326.0877							Well_5
2326.2877							Well_5
2326.4877							Well_5
2326.6877							Well_5
2326.8877							Well_5
2327.0877							Well_5
2327.2877							Well_5
2327.4877							Well_5
2327.6877							Well_5
2327.8877							Well_5
2328.0877							Well_5
2328.2877							Well_5
2328.4877							Well_5
2328.6877							Well_5
2328.8877							Well_5
2329.0877							Well_5
2329.2877							Well_5
2329.4877							Well_5
2329.6877							Well_5
2329.8877							Well_5
2330.0877							Well_5
2330.2877							Well_5
2330.4877							Well_5
2330.6877							Well_5
2330.8877							Well_5
2331.0877							Well_5
2331.2877							Well_5
2331.4877							Well_5
2331.6877							Well_5
2331.8877							Well_5
2332.0877							Well_5
2332.2877							Well_5
2332.4877							Well_5
2332.6877							Well_5
2332.8877							Well_5
2333.0877							Well_5
2333.2877							Well_5
2333.4877							Well_5
2333.6877							Well_5
2333.8877							Well_5
2334.0877							Well_5
2334.2877							Well_5
2334.4877							Well_5
2334.6877							Well_5
2334.8877							Well_5
2335.0877							Well_5
2335.2877							Well_5
2335.4877							Well_5
2335.6877							Well_5
2335.8877							Well_5
2336.0877							Well_5
2336.2877							Well_5
2336.4877							Well_5
2336.6877							Well_5
2336.8877							Well_5
2337.0877							Well_5
2337.2877							Well_5
2337.4877							Well_5
2337.6877							Well_5
2337.8877							Well_5
2338.0877							Well_5
2338.2877							Well_5
2338.4877							Well_5
2338.6877							Well_5
2338.8877							Well_5
2339.0877							Well_5
2339.2877							Well_5
2339.4877							Well_5
2339.6877							Well_5
2339.8877							Well_5
2340.0877							Well_5
2340.2877							Well_5
2340.4877							Well_5
2340.6877							Well_5
2340.8877							Well_5
2341.0877							Well_5
2341.2877							Well_5
2341.4877							Well_5
2341.6877							Well_5
2341.8877							Well_5
2342.0877							Well_5
2342.2877							Well_5
2342.4877							Well_5
2342.6877							Well_5
2342.8877							Well_5
2343.0877							Well_5
2343.2877							Well_5
2343.4877							Well_5
2343.6877							Well_5
2343.8877							Well_5
2344.0877							Well_5
2344.2877							Well_5
2344.4877							Well_5
2344.6877							Well_5
2344.8877							Well_5
2345.0877							Well_5
2345.2877							Well_5
2345.4877							Well_5
2345.6877							Well_5
2345.8877							Well_5
2346.0877							Well_5
2346.2877							Well_5
2346.4877							Well_5
2346.6877							Well_5
2346.8877							Well_5
2347.0877							Well_5
2347.2877							Well_5
2347.4877							Well_5
2347.6877							Well_5
2347.8877							Well_5
2348.0877							Well_5
2348.2877							Well_5
2348.4877							Well_5
2348.6877							Well_5
2348.8877							Well_5
2349.0877							Well_5
2349.2877							Well_5
2349.4877							Well_5
2349.6877							Well_5
2349.8877							Well_5
2350.0877							Well_5
2350.2877							Well_5
2350.4877							Well_5
2350.6877							Well_5
2350.8877							Well_5
2351.0877							Well_5
2351.2877							Well_5
2351.4877							Well_5
2351.6877							Well_5
2351.8877							Well_5
2352.0877							Well_5
2352.2877							Well_5
2352.4877							Well_5
2352.6877							Well_5
2352.8877							Well_5
2353.0877							Well_5
2353.2877							Well_5
2353.4877							Well_5
2353.6877							Well_5
2353.8877							Well_5
2354.0877							Well_5
2354.2877							Well_5
2354.4877							Well_5
2354.6877							Well_5
2354.8877							Well_5
2355.0877							Well_5
2355.2877							Well_5
2355.4877							Well_5
2355.6877							Well_5
2355.8877							Well_5
2356.0877							Well_5
2356.2877							Well_5
2356.4877							Well_5
2356.6877							Well_5
2356.8877							Well_5
2357.0877							Well_5
2357.2877							Well_5
2357.4877							Well_5
2357.6877							Well_5
2357.8877							Well_5
2358.0877							Well_5
2358.2877							Well_5
2358.4877							Well_5
2358.6877							Well_5
2358.8877							Well_5
2359.0877							Well_5
2359.2877							Well_5
2359.4877							Well_5
2359.6877							Well_5
2359.8877							Well_5
2360.0877							Well_5
2360.2877							Well_5
2360.4877							Well_5
2360.6877							Well_5
2360.8877							Well_5
2361.0877							Well_5
2361.2877							Well_5
2361.4877							Well_5
2361.6877							Well_5
2361.8877							Well_5
2362.0877							Well_5
2362.2877							Well_5
2362.4877							Well_5
2362.6877							Well_5
2362.8877							Well_5
2363.0877							Well_5
2363.2877							Well_5
2363.4877							Well_5
2363.6877							Well_5
2363.8877							Well_5
2364.0877							Well_5
2364.2877							Well_5
2364.4877							Well_5
2364.6877							Well_5
2364.8877							Well_5
2365.0877							Well_5
2365.2877							Well_5
2365.4877							Well_5
2365.6877							Well_5
2365.8877							Well_5
2366.0877							Well_5
2366.2877							Well_5
2366.4877							Well_5
2366.6877							Well_5
2366.8877							Well_5
2367.0877							Well_5
2367.2877							Well_5
2367.4877							Well_5
2367.6877							Well_5
2367.8877							Well_5
2368.0877							Well_5
2368.2877							Well_5
2368.4877							Well_5
2368.6877							Well_5
2368.8877							Well_5
2369.0877							Well_5
2369.2877							Well_5
2369.4877							Well_5
2369.6877							Well_5
2369.8877							Well_5
2370.0877							Well_5
2370.2877							Well_5
2370.4877							Well_5
2370.6877							Well_5
2370.8877							Well_5
2371.0877							Well_5
2371.2877							Well_5
2371.4877							Well_5
2371.6877							Well_5
2371.8877							Well_5
2372.0877							Well_5
2372.2877							Well_5
2372.4877							Well_5
2372.6877							Well_5
2372.8877							Well_5
2373.0877							Well_5
2373.2877							Well_5
2373.4877							Well_5
2373.6877							Well_5
2373.8877							Well_5
2374.0877							Well_5
2374.2877							Well_5
2374.4877							Well_5
2374.6877							Well_5
2374.8877							Well_5
2375.0877							Well_5
2375.2877							Well_5
2375.4877							Well_5
2375.6877							Well_5
2375.8877							Well_5
2376.0877							Well_5
2376.2877							Well_5
2376.4877							Well_5
2376.6877							Well_5
2376.8877							Well_5
2377.0877							Well_5
2377.2877							Well_5
2377.4877							Well_5
2377.6877							Well_5
2377.8877							Well_5
2378.0877							Well_5
2378.2877							Well_5
2378.4877							Well_5
2378.6877							Well_5
2378.8877							Well_5
2379.0877							Well_5
2379.2877							Well_5
2379.4877							Well_5
2379.6877							Well_5
2379.8877							Well_5
2380.0877							Well_5
2380.2877							Well_5
2380.4877							Well_5
2380.6877							Well_5
2380.8877							Well_5
2381.0877							Well_5
2381.2877							Well_5
2381.4877							Well_5
2381.6877							Well_5
2381.8877							Well_5
2382.0877							Well_5
2382.2877							Well_5
2382.4877							Well_5
2382.6877							Well_5
2382.8877							Well_5
2383.0877							Well_5
2383.2877							Well_5
2383.4877							Well_5
2383.6877							Well_5
2383.8877							Well_5
2384.0877							Well_5
2384.2877							Well_5
2384.4877							Well_5
2384.6877							Well_5
2384.8877							Well_5
2385.0877							Well_5
2385.2877							Well_5
2385.4877							Well_5
2385.6877							Well_5
2385.8877							Well_5
2386.0877							Well_5
2386.2877							Well_5
2386.4877							Well_5
2386.6877							Well_5
2386.8877							Well_5
2387.0877							Well_5
2387.2877							Well_5
2387.4877							Well_5
2387.6877							Well_5
2387.8877							Well_5
2388.0877							Well_5
2388.2877							Well_5
2388.4877							Well_5
2388.6877							Well_5
2388.8877							Well_5
2389.0877							Well_5
2389.2877							Well_5
2389.4877							Well_5
2389.6877							Well_5
2389.8877							Well_5
2390.0877							Well_5
2390.2877							Well_5
2390.4877							Well_5
2390.6877							Well_5
2390.8877							Well_5
2391.0877							Well_5
2391.2877							Well_5
2391.4877							Well_5
2391.6877							Well_5
2391.8877							Well_5
2392.0877							Well_5
2392.2877							Well_5
2392.4877							Well_5
2392.6877							Well_5
2392.8877							Well_5
2393.0877							Well_5
2393.2877							Well_5
2393.4877							Well_5
2393.6877							Well_5
2393.8877							Well_5
2394.0877							Well_5
2394.2877							Well_5
2394.4877							Well_5
2394.6877							Well_5
2394.8877							Well_5
2395.0877							Well_5
2395.2877							Well_5
2395.4877							Well_5
2395.6877							Well_5
2395.8877							Well_5
2396.0877							Well_5
2396.2877							Well_5
2396.4877							Well_5
2396.6877							Well_5
2396.8877							Well_5
2397.0877							Well_5
2397.2877							Well_5
2397.4877							Well_5
2397.6877							Well_5
2397.8877							Well_5
2398.0877							Well_5
2398.2877							Well_5
2398.4877							Well_5
2398.6877							Well_5
2398.8877							Well_5
2399.0877							Well_5
2399.2877							Well_5
2399.4877							Well_5
2399.6877							Well_5
2399.8877							Well_5
2400.0877							Well_5
2400.2877							Well_5
2400.4877							Well_5
2400.6877							Well_5
2400.8877							Well_5
2401.0877							Well_5
2401.2877							Well_5
2401.4877							Well_5
2401.6877							Well_5
2401.8877							Well_5
2402.0877							Well_5
2402.2877							Well_5
2402.4877							Well_5
2402.6877							Well_5
2402.8877							Well_5
2403.0877							Well_5
2403.2877							Well_5
2403.4877							Well_5
2403.6877							Well_5
2403.8877							Well_5
2404.0877							Well_5
2404.2877							Well_5
2404.4877							Well_5
2404.6877							Well_5
2404.8877							Well_5
2405.0877							Well_5
2405.2877							Well_5
2405.4877							Well_5
2405.6877							Well_5
2405.8877							Well_5
2406.0877							Well_5
2406.2877							Well_5
2406.4877							Well_5
2406.6877							Well_5
