MD	PHIE	GR	DTCO	RHOB	PHI_ALT	DTS	WELL
2422.4955							Well_2
2422.6955							Well_2
2422.8955							Well_2
2423.0955							Well_2
2423.2955							Well_2
2423.4955							Well_2
2423.6955							Well_2
2423.8955							Well_2
2424.0955							Well_2
2424.2955							Well_2
2424.4955							Well_2
2424.6955							Well_2
2424.8955							Well_2
2425.0955							Well_2
2425.2955							Well_2
2425.4955							Well_2
2425.6955							Well_2
2425.8955							Well_2
2426.0955							Well_2
2426.2955							Well_2
2426.4955							Well_2
2426.6955							Well_2
2426.8955							Well_2
2427.0955							Well_2
2427.2955							Well_2
2427.4955							Well_2
2427.6955							Well_2
2427.8955							Well_2
2428.0955							Well_2
2428.2955							Well_2
2428.4955							Well_2
2428.6955							Well_2
2428.8955							Well_2
2429.0955							Well_2
2429.2955							Well_2
2429.4955							Well_2
2429.6955							Well_2
2429.8955							Well_2
2430.0955							Well_2
2430.2955							Well_2
2430.4955							Well_2
2430.6955							Well_2
2430.8955							Well_2
2431.0955							Well_2
2431.2955							Well_2
2431.4955							Well_2
2431.6955							Well_2
2431.8955							Well_2
2432.0955							Well_2
2432.2955							Well_2
2432.4955							Well_2
2432.6955							Well_2
2432.8955							Well_2
2433.0955							Well_2
2433.2955							Well_2
2433.4955							Well_2
2433.6955							Well_2
2433.8955							Well_2
2434.0955							Well_2
2434.2955							Well_2
2434.4955							Well_2
2434.6955							Well_2
2434.8955							Well_2
2435.0955							Well_2
2435.2955							Well_2
2435.4955							Well_2
2435.6955							Well_2
2435.8955							Well_2
2436.0955							Well_2
2436.2955							Well_2
2436.4955							Well_2
2436.6955							Well_2
2436.8955							Well_2
2437.0955							Well_2
2437.2955							Well_2
2437.4955							Well_2
2437.6955							Well_2
2437.8955							Well_2
2438.0955							Well_2
2438.2955							Well_2
2438.4955							Well_2
2438.6955							Well_2
2438.8955							Well_2
2439.0955							Well_2
2439.2955							Well_2
2439.4955							Well_2
2439.6955							Well_2
2439.8955							Well_2
2440.0955							Well_2
2440.2955							Well_2
2440.4955							Well_2
2440.6955							Well_2
2440.8955							Well_2
2441.0955							Well_2
2441.2955							Well_2
2441.4955							Well_2
2441.6955							Well_2
2441.8955							Well_2
2442.0955							Well_2
2442.2955							Well_2
2442.4955							Well_2
2442.6955							Well_2
2442.8955							Well_2
2443.0955							Well_2
2443.2955							Well_2
2443.4955							Well_2
2443.6955							Well_2
2443.8955							Well_2
2444.0955							Well_2
2444.2955							Well_2
2444.4955							Well_2
2444.6955							Well_2
2444.8955							Well_2
2445.0955							Well_2
2445.2955							Well_2
2445.4955							Well_2
2445.6955							Well_2
2445.8955							Well_2
2446.0955							Well_2
2446.2955							Well_2
2446.4955							Well_2
2446.6955							Well_2
2446.8955							Well_2
2447.0955							Well_2
2447.2955							Well_2
2447.4955							Well_2
2447.6955							Well_2
2447.8955							Well_2
2448.0955							Well_2
2448.2955							Well_2
2448.4955							Well_2
2448.6955							Well_2
2448.8955							Well_2
2449.0955							Well_2
2449.2955							Well_2
2449.4955							Well_2
2449.6955							Well_2
2449.8955							Well_2
2450.0955							Well_2
2450.2955							Well_2
2450.4955							Well_2
2450.6955							Well_2
2450.8955							Well_2
2451.0955							Well_2
2451.2955							Well_2
2451.4955							Well_2
2451.6955							Well_2
2451.8955							Well_2
2452.0955							Well_2
2452.2955							Well_2
2452.4955							Well_2
2452.6955							Well_2
2452.8955							Well_2
2453.0955							Well_2
2453.2955							Well_2
2453.4955							Well_2
2453.6955							Well_2
2453.8955							Well_2
2454.0955							Well_2
2454.2955							Well_2
2454.4955							Well_2
2454.6955							Well_2
2454.8955							Well_2
2455.0955							Well_2
2455.2955							Well_2
2455.4955							Well_2
2455.6955							Well_2
2455.8955							Well_2
2456.0955							Well_2
2456.2955							Well_2
2456.4955							Well_2
2456.6955							Well_2
2456.8955							Well_2
2457.0955							Well_2
2457.2955							Well_2
2457.4955							Well_2
2457.6955							Well_2
2457.8955							Well_2
2458.0955							Well_2
2458.2955							Well_2
2458.4955							Well_2
2458.6955							Well_2
2458.8955							Well_2
2459.0955							Well_2
2459.2955							Well_2
2459.4955							Well_2
2459.6955							Well_2
2459.8955							Well_2
2460.0955							Well_2
2460.2955							Well_2
2460.4955							Well_2
2460.6955							Well_2
2460.8955							Well_2
2461.0955							Well_2
2461.2955							Well_2
2461.4955							Well_2
2461.6955							Well_2
2461.8955							Well_2
2462.0955							Well_2
2462.2955							Well_2
2462.4955							Well_2
2462.6955							Well_2
2462.8955							Well_2
2463.0955							Well_2
2463.2955							Well_2
2463.4955							Well_2
2463.6955							Well_2
2463.8955							Well_2
2464.0955							Well_2
2464.2955							Well_2
2464.4955							Well_2
2464.6955							Well_2
2464.8955							Well_2
2465.0955							Well_2
2465.2955							Well_2
2465.4955							Well_2
2465.6955							Well_2
2465.8955							Well_2
2466.0955							Well_2
2466.2955							Well_2
2466.4955							Well_2
2466.6955							Well_2
2466.8955							Well_2
2467.0955							Well_2
2467.2955							Well_2
2467.4955							Well_2
2467.6955							Well_2
2467.8955							Well_2
2468.0955							Well_2
2468.2955							Well_2
2468.4955							Well_2
2468.6955							Well_2
2468.8955							Well_2
2469.0955							Well_2
2469.2955							Well_2
2469.4955							Well_2
2469.6955							Well_2
2469.8955							Well_2
2470.0955							Well_2
2470.2955							Well_2
2470.4955							Well_2
2470.6955							Well_2
2470.8955							Well_2
2471.0955							Well_2
2471.2955							Well_2
2471.4955							Well_2
2471.6955							Well_2
2471.8955							Well_2
2472.0955							Well_2
2472.2955							Well_2
2472.4955							Well_2
2472.6955							Well_2
2472.8955							Well_2
2473.0955							Well_2
2473.2955							Well_2
2473.4955							Well_2
2473.6955							Well_2
2473.8955							Well_2
2474.0955							Well_2
2474.2955							Well_2
2474.4955							Well_2
2474.6955							Well_2
2474.8955							Well_2
2475.0955							Well_2
2475.2955							Well_2
2475.4955							Well_2
2475.6955							Well_2
2475.8955							Well_2
2476.0955							Well_2
2476.2955							Well_2
2476.4955							Well_2
2476.6955							Well_2
2476.8955							Well_2
2477.0955							Well_2
2477.2955							Well_2
2477.4955							Well_2
2477.6955							Well_2
2477.8955							Well_2
2478.0955							Well_2
2478.2955							Well_2
2478.4955							Well_2
2478.6955							Well_2
2478.8955							Well_2
2479.0955							Well_2
2479.2955							Well_2
2479.4955							Well_2
2479.6955							Well_2
2479.8955							Well_2
2480.0955							Well_2
2480.2955							Well_2
2480.4955							Well_2
2480.6955							Well_2
2480.8955							Well_2
2481.0955							Well_2
2481.2955							Well_2
2481.4955							Well_2
2481.6955							Well_2
2481.8955							Well_2
2482.0955							Well_2
2482.2955							Well_2
2482.4955							Well_2
2482.6955							Well_2
2482.8955							Well_2
2483.0955							Well_2
2483.2955							Well_2
2483.4955							Well_2
2483.6955							Well_2
2483.8955							Well_2
2484.0955							Well_2
2484.2955							Well_2
2484.4955							Well_2
2484.6955							Well_2
2484.8955							Well_2
2485.0955							Well_2
2485.2955							Well_2
2485.4955							Well_2
2485.6955							Well_2
2485.8955							Well_2
2486.0955							Well_2
2486.2955							Well_2
2486.4955							Well_2
2486.6955							Well_2
2486.8955							Well_2
2487.0955							Well_2
2487.2955							Well_2
2487.4955							Well_2
2487.6955							Well_2
2487.8955							Well_2
2488.0955							Well_2
2488.2955							Well_2
2488.4955							Well_2
2488.6955							Well_2
2488.8955							Well_2
2489.0955							Well_2
2489.2955							Well_2
2489.4955							Well_2
2489.6955							Well_2
2489.8955							Well_2
2490.0955							Well_2
2490.2955							Well_2
2490.4955							Well_2
2490.6955							Well_2
2490.8955							Well_2
2491.0955							Well_2
2491.2955							Well_2
2491.4955							Well_2
2491.6955							Well_2
2491.8955							Well_2
2492.0955							Well_2
2492.2955							Well_2
2492.4955							Well_2
2492.6955							Well_2
2492.8955							Well_2
2493.0955							Well_2
2493.2955							Well_2
2493.4955							Well_2
2493.6955							Well_2
2493.8955							Well_2
2494.0955							Well_2
2494.2955							Well_2
2494.4955							Well_2
2494.6955							Well_2
2494.8955							Well_2
2495.0955							Well_2
