MD	PHIE	GR	RHOB	DTCO	PHI_ALT	DTS	WELL
3250.3936						211.57919312	Well_4
3250.5936						211.35719299	Well_4
3250.7936						212.8177948	Well_4
3250.9936						213.7631073	Well_4
3251.1936						215.75430298	Well_4
3251.3936						217.4927063	Well_4
3251.5936						222.30149841	Well_4
3251.7936						223.89930725	Well_4
3251.9936						221.14959717	Well_4
3252.1936						218.93179321	Well_4
3252.3936						218.70440674	Well_4
3252.5936						219.61700439	Well_4
3252.7936						220.15209961	Well_4
3252.9936						220.23890686	Well_4
3253.1936						220.70640564	Well_4
3253.3936						226.08309937	Well_4
3253.5936						230.12109375	Well_4
3253.7936						234.98750305	Well_4
3253.9936						236.18484497	Well_4
3254.1936						236.47270203	Well_4
3254.3936						235.99189758	Well_4
3254.5936						235.72999573	Well_4
3254.7936						229.87179565	Well_4
3254.9936						224.8289032	Well_4
3255.1936						220.95970154	Well_4
3255.3936						219.40820313	Well_4
3255.5936						218.72189331	Well_4
3255.7936						218.59309387	Well_4
3255.9936						218.93899536	Well_4
3256.1936						219.75280762	Well_4
3256.3936						220.18069458	Well_4
3256.5936						216.22979736	Well_4
3256.7936						213.18099976	Well_4
3256.9936						211.96569824	Well_4
3257.1936						210.7635498	Well_4
3257.3936						210.01939392	Well_4
3257.5936						207.68330383	Well_4
3257.7936						206.19610596	Well_4
3257.9936						205.17950439	Well_4
3258.1936						206.60699463	Well_4
3258.3936						208.23939514	Well_4
3258.5936						210.75709534	Well_4
3258.7936						213.56140137	Well_4
3258.9936						217.42050171	Well_4
3259.1936						224.41769409	Well_4
3259.3936						227.14460754	Well_4
3259.5936						229.42399597	Well_4
3259.7936						228.39250183	Well_4
3259.9936						226.90400696	Well_4
3260.1936						225.28640747	Well_4
3260.3936						223.65190125	Well_4
3260.5936						220.74200439	Well_4
3260.7936						217.15010071	Well_4
3260.9936						216.45599365	Well_4
3261.1936						215.16110229	Well_4
3261.3936						209.73129272	Well_4
3261.5936						206.15690613	Well_4
3261.7936						205.6230011	Well_4
3261.9936						205.28340149	Well_4
3262.1936						205.49490356	Well_4
3262.3936						204.68240356	Well_4
3262.5936						204.11239624	Well_4
3262.7936						205.94839478	Well_4
3262.9936						209.10949707	Well_4
3263.1936						210.05169678	Well_4
3263.3936						214.21310425	Well_4
3263.5936						216.81280518	Well_4
3263.7936						219.80270386	Well_4
3263.9936						223.68139648	Well_4
3264.1936						226.7355957	Well_4
3264.3936						227.54040527	Well_4
3264.5936						223.50759888	Well_4
3264.7936						220.6631012	Well_4
3264.9936						215.84370422	Well_4
3265.1936						213.67680359	Well_4
3265.3936						212.25779724	Well_4
3265.5936						210.94810486	Well_4
3265.7936						210.25840759	Well_4
3265.9936						207.2322998	Well_4
3266.1936						206.01860046	Well_4
3266.3936						205.60980225	Well_4
3266.5936						204.70089722	Well_4
3266.7936						203.48120117	Well_4
3266.9936						200.52409363	Well_4
3267.1936						200.05599976	Well_4
3267.3936						203.63850403	Well_4
3267.5936						205.25669861	Well_4
3267.7936						208.60090637	Well_4
3267.9936						211.32699585	Well_4
3268.1936						212.60839844	Well_4
3268.3936						212.73260498	Well_4
3268.5936						213.32949829	Well_4
3268.7936						215.64370728	Well_4
3268.9936						212.77420044	Well_4
3269.1936						208.71730042	Well_4
3269.3936						207.66160583	Well_4
3269.5936						206.29580688	Well_4
3269.7936						203.32420349	Well_4
3269.9936						202.24009705	Well_4
3270.1936						202.17280579	Well_4
3270.3936						202.63659668	Well_4
3270.5936						203.43730164	Well_4
3270.7936						207.57279968	Well_4
3270.9936						208.30740356	Well_4
3271.1936						205.38090515	Well_4
3271.3936						204.2684021	Well_4
3271.5936						202.53559875	Well_4
3271.7936						199.26339722	Well_4
3271.9936						196.53010559	Well_4
3272.1936						194.207901	Well_4
3272.3936						192.57580566	Well_4
3272.5936						193.36120605	Well_4
3272.7936						194.82800293	Well_4
3272.9936						196.94889832	Well_4
3273.1936						197.79240417	Well_4
3273.3936						199.16760254	Well_4
3273.5936						200.71879578	Well_4
3273.7936						203.19299316	Well_4
3273.9936						204.8276062	Well_4
3274.1936						204.53520203	Well_4
3274.3936						204.15299988	Well_4
3274.5936						203.3822937	Well_4
3274.7936						200.99299622	Well_4
3274.9936						198.57000732	Well_4
3275.1936						196.02600098	Well_4
3275.3936						193.15159607	Well_4
3275.5936						191.39630127	Well_4
3275.7936						190.01739502	Well_4
3275.9936						190.82290649	Well_4
3276.1936						191.2250061	Well_4
3276.3936						190.979599	Well_4
3276.5936						190.77580261	Well_4
3276.7936						190.56759644	Well_4
3276.9936						190.33270264	Well_4
3277.1936						191.19309998	Well_4
3277.3936						190.74249268	Well_4
3277.5936						190.84570313	Well_4
3277.7936						191.09809875	Well_4
3277.9936						191.08610535	Well_4
3278.1936						190.55389404	Well_4
3278.3936						189.08439636	Well_4
3278.5936						188.12280273	Well_4
3278.7936						188.0993042	Well_4
3278.9936						188.70880127	Well_4
3279.1936						190.46699524	Well_4
3279.3936						191.28416443	Well_4
3279.5936						192.83999634	Well_4
3279.7936						193.11610413	Well_4
3279.9936						192.88960266	Well_4
3280.1936						193.44659424	Well_4
3280.3936						193.74819946	Well_4
3280.5936						194.14790344	Well_4
3280.7936						194.7816925	Well_4
3280.9936						194.64050293	Well_4
3281.1936						194.24719238	Well_4
3281.3936						193.582901	Well_4
3281.5936						193.51950073	Well_4
3281.7936						193.21690369	Well_4
3281.9936						192.85069275	Well_4
3282.1936						193.09410095	Well_4
3282.3936						192.22340393	Well_4
3282.5936						192.00575256	Well_4
3282.7936						192.42869568	Well_4
3282.9936						193.08709717	Well_4
3283.1936						194.72740173	Well_4
3283.3936						195.21240234	Well_4
3283.5936						196.35560608	Well_4
3283.7936						199.49029541	Well_4
3283.9936						203.42379761	Well_4
3284.1936						207.58030701	Well_4
3284.3936						211.25810242	Well_4
3284.5936						212.21929932	Well_4
3284.7936						212.09289551	Well_4
3284.9936						211.69119263	Well_4
3285.1936						211.79589844	Well_4
3285.3936						209.78869629	Well_4
3285.5936						208.58250427	Well_4
3285.7936						207.87010193	Well_4
3285.9936						207.91940308	Well_4
3286.1936						208.57119751	Well_4
3286.3936						208.64649963	Well_4
3286.5936						207.47860718	Well_4
3286.7936						207.68260193	Well_4
3286.9936						210.05110168	Well_4
3287.1936						211.23930359	Well_4
3287.3936						210.64019775	Well_4
3287.5936						210.55589294	Well_4
3287.7936						212.13200378	Well_4
3287.9936						214.88529968	Well_4
3288.1936						214.78619385	Well_4
3288.3936						216.15570068	Well_4
3288.5936						217.82650757	Well_4
3288.7936						219.49490356	Well_4
3288.9936						220.31669617	Well_4
3289.1936						219.43730164	Well_4
3289.3936						218.49450684	Well_4
3289.5936						220.29859924	Well_4
3289.7936						220.65139771	Well_4
3289.9936						216.99049377	Well_4
3290.1936						214.78250122	Well_4
3290.3936						213.0249939	Well_4
3290.5936						214.25700378	Well_4
3290.7936						216.33120728	Well_4
3290.9936						216.99259949	Well_4
3291.1936						215.9382019	Well_4
3291.3936						216.2019043	Well_4
3291.5936						217.81219482	Well_4
3291.7936						219.19619751	Well_4
3291.9936						220.43380737	Well_4
3292.1936						221.01029968	Well_4
3292.3936						221.67359924	Well_4
3292.5936						222.67250061	Well_4
3292.7936						226.88040161	Well_4
3292.9936						228.85679626	Well_4
3293.1936						228.51029968	Well_4
3293.3936						226.93589783	Well_4
3293.5936						224.15950012	Well_4
3293.7936						221.38720703	Well_4
3293.9936						219.77510071	Well_4
3294.1936						217.67579651	Well_4
3294.3936						213.37980652	Well_4
3294.5936						213.10420227	Well_4
3294.7936						216.22579956	Well_4
3294.9936						216.9197998	Well_4
3295.1936						216.96359253	Well_4
3295.3936						216.79499817	Well_4
3295.5936						216.3368988	Well_4
3295.7936						215.78289795	Well_4
3295.9936						215.9835968	Well_4
3296.1936						215.73120117	Well_4
3296.3936						213.84750366	Well_4
3296.5936						211.97329712	Well_4
3296.7936						210.74830627	Well_4
3296.9936						208.62330627	Well_4
3297.1936						205.98129272	Well_4
3297.3936						203.72039795	Well_4
3297.5936						203.30369568	Well_4
3297.7936						204.44689941	Well_4
3297.9936						205.74169922	Well_4
3298.1936						207.4078064	Well_4
3298.3936						207.94940186	Well_4
3298.5936						208.14959717	Well_4
3298.7936						207.45269775	Well_4
3298.9936						205.49479675	Well_4
3299.1936						202.14660645	Well_4
3299.3936						200.06069946	Well_4
3299.5936						198.82000732	Well_4
3299.7936						197.60279846	Well_4
3299.9936						197.53439331	Well_4
3300.1936						198.32139587	Well_4
3300.3936						200.16610718	Well_4
3300.5936						201.08410645	Well_4
3300.7936						203.66740417	Well_4
3300.9936						204.91070557	Well_4
3301.1936						206.41419983	Well_4
3301.3936						208.04060364	Well_4
3301.5936						207.876297	Well_4
3301.7936						207.67030334	Well_4
3301.9936						206.86099243	Well_4
3302.1936						204.44610596	Well_4
3302.3936						200.19490051	Well_4
3302.5936						197.51930237	Well_4
3302.7936						195.95159912	Well_4
3302.9936						193.44380188	Well_4
3303.1936						192.15249634	Well_4
3303.3936						190.50180054	Well_4
3303.5936						190.20210266	Well_4
3303.7936						189.44819641	Well_4
3303.9936						191.71879578	Well_4
3304.1936						193.55470276	Well_4
3304.3936						196.77490234	Well_4
3304.5936						198.54760742	Well_4
3304.7936						200.55413818	Well_4
3304.9936						206.36889648	Well_4
3305.1936						210.55769348	Well_4
3305.3936						211.10920715	Well_4
3305.5936						209.8874054	Well_4
3305.7936						207.72210693	Well_4
3305.9936						207.73789978	Well_4
3306.1936						208.51130676	Well_4
3306.3936						209.24499512	Well_4
3306.5936						209.13870239	Well_4
3306.7936						209.98789978	Well_4
3306.9936						211.9407959	Well_4
3307.1936						213.94389343	Well_4
3307.3936						215.00059509	Well_4
3307.5936						214.56059265	Well_4
3307.7936						212.68559265	Well_4
3307.9936						208.83589172	Well_4
3308.1936						205.95129395	Well_4
3308.3936						205.79980469	Well_4
3308.5936						205.97740173	Well_4
3308.7936						205.61650085	Well_4
3308.9936						203.4046936	Well_4
3309.1936						201.8085022	Well_4
3309.3936						200.40280151	Well_4
3309.5936						199.57150269	Well_4
3309.7936						198.23840332	Well_4
3309.9936						196.94369507	Well_4
3310.1936						196.82009888	Well_4
3310.3936						198.72439575	Well_4
3310.5936						200.93400574	Well_4
3310.7936						206.50210571	Well_4
3310.9936						209.4750061	Well_4
3311.1936						212.78359985	Well_4
3311.3936						216.15800476	Well_4
3311.5936						218.2467041	Well_4
3311.7936						216.98930359	Well_4
3311.9936						215.479599	Well_4
3312.1936						210.50360107	Well_4
3312.3936						206.92630005	Well_4
3312.5936						203.84570313	Well_4
3312.7936						203.22459412	Well_4
3312.9936						202.10969543	Well_4
3313.1936						200.1750946	Well_4
3313.3936						199.55700684	Well_4
3313.5936						198.97340393	Well_4
3313.7936						198.25520325	Well_4
3313.9936						196.4940033	Well_4
3314.1936						195.02890015	Well_4
3314.3936						194.84260559	Well_4
3314.5936						197.31030273	Well_4
3314.7936						200.41889954	Well_4
3314.9936						204.56559753	Well_4
3315.1936						209.69839478	Well_4
3315.3936						212.72200012	Well_4
3315.5936						218.75680542	Well_4
3315.7936						221.55780029	Well_4
3315.9936						223.35670471	Well_4
3316.1936						223.27430725	Well_4
3316.3936						223.86630249	Well_4
3316.5936						226.76629639	Well_4
3316.7936						226.47920227	Well_4
3316.9936						224.855896	Well_4
3317.1936						223.4730072	Well_4
3317.3936						218.77789307	Well_4
3317.5936						216.90060425	Well_4
3317.7936						211.67959595	Well_4
3317.9936						203.89770508	Well_4
3318.1936						199.30459595	Well_4
3318.3936						196.1177063	Well_4
3318.5936						195.71040344	Well_4
3318.7936						195.24819946	Well_4
3318.9936						194.06750488	Well_4
3319.1936						192.5296936	Well_4
3319.3936						191.59899902	Well_4
3319.5936						190.89990234	Well_4
3319.7936						191.83720398	Well_4
3319.9936						192.69799805	Well_4
3320.1936						193.7230072	Well_4
3320.3936						194.77929688	Well_4
3320.5936						195.34300232	Well_4
3320.7936						195.80599976	Well_4
3320.9936						196.49980164	Well_4
3321.1936						196.32910156	Well_4
3321.3936						195.20680237	Well_4
3321.5936						195.95750427	Well_4
3321.7936						199.022995	Well_4
3321.9936						200.28379822	Well_4
3322.1936						201.16670227	Well_4
3322.3936						202.76759338	Well_4
3322.5936						203.95559692	Well_4
3322.7936						205.75059509	Well_4
3322.9936						207.17680359	Well_4
3323.1936						208.58360291	Well_4
3323.3936						210.28120422	Well_4
3323.5936						211.60780334	Well_4
3323.7936						212.53140259	Well_4
3323.9936						213.26589966	Well_4
3324.1936						212.65539551	Well_4
3324.3936						209.38879395	Well_4
3324.5936						206.18280029	Well_4
3324.7936						199.6605072	Well_4
3324.9936						194.9960022	Well_4
3325.1936						192.08399963	Well_4
3325.3936						190.37249756	Well_4
3325.5936						189.49729919	Well_4
3325.7936						189.27049255	Well_4
3325.9936						189.58039856	Well_4
3326.1936						191.08560181	Well_4
3326.3936						192.82350159	Well_4
3326.5936						195.08039856	Well_4
3326.7936						197.12710571	Well_4
3326.9936						197.81350708	Well_4
3327.1936						198.68389893	Well_4
3327.3936						200.4683075	Well_4
3327.5936						200.95530701	Well_4
3327.7936						201.69590759	Well_4
3327.9936						202.6269989	Well_4
3328.1936						201.16650391	Well_4
3328.3936						201.15730286	Well_4
3328.5936						201.03120422	Well_4
3328.7936						201.41349792	Well_4
3328.9936						201.88549805	Well_4
3329.1936						203.85049438	Well_4
3329.3936						204.41859436	Well_4
3329.5936						203.65109253	Well_4
3329.7936						203.21060181	Well_4
3329.9936						204.02830505	Well_4
3330.1936						205.31611633	Well_4
3330.3936						205.49189758	Well_4
3330.5936						204.27560425	Well_4
3330.7936						201.41099548	Well_4
3330.9936						201.54159546	Well_4
3331.1936						202.82429504	Well_4
3331.3936						203.87289429	Well_4
3331.5936						204.71299744	Well_4
3331.7936						207.39360046	Well_4
3331.9936						209.76780701	Well_4
3332.1936						209.47090149	Well_4
3332.3936						209.47680664	Well_4
3332.5936						209.88710022	Well_4
3332.7936						210.93589783	Well_4
3332.9936						212.15130615	Well_4
3333.1936						212.03640747	Well_4
3333.3936						209.45773315	Well_4
3333.5936						208.26629639	Well_4
3333.7936						210.49859619	Well_4
3333.9936						211.42959595	Well_4
3334.1936						210.56359863	Well_4
3334.3936						208.38989258	Well_4
3334.5936						206.41969299	Well_4
3334.7936						204.82510376	Well_4
3334.9936						206.25059509	Well_4
3335.1936						205.14680481	Well_4
3335.3936						203.97540283	Well_4
3335.5936						203.18389893	Well_4
3335.7936						203.2460022	Well_4
3335.9936						204.86010742	Well_4
3336.1936						208.14160156	Well_4
3336.3936						211.9151001	Well_4
3336.5936						210.77479553	Well_4
3336.7936						209.21989441	Well_4
3336.9936						209.74859619	Well_4
3337.1936						210.31039429	Well_4
3337.3936						210.43339539	Well_4
3337.5936						209.7098999	Well_4
3337.7936						207.69250488	Well_4
3337.9936						203.186203	Well_4
3338.1936						203.04449463	Well_4
3338.3936						201.17370605	Well_4
3338.5936						198.73880005	Well_4
3338.7936						196.96580505	Well_4
3338.9936						197.33239746	Well_4
3339.1936						198.61810303	Well_4
3339.3936						199.87669373	Well_4
3339.5936						201.52749634	Well_4
3339.7936						202.03829956	Well_4
3339.9936						200.64529419	Well_4
3340.1936						199.32269287	Well_4
3340.3936						200.00289917	Well_4
3340.5936						200.0388031	Well_4
3340.7936						200.12030029	Well_4
3340.9936						200.84890747	Well_4
3341.1936						202.82899475	Well_4
3341.3936						205.5480957	Well_4
3341.5936						210.93780518	Well_4
3341.7936						212.05180359	Well_4
3341.9936						212.09010315	Well_4
3342.1936						211.0625	Well_4
3342.3936						211.03520203	Well_4
3342.5936						212.35510254	Well_4
3342.7936						213.57260132	Well_4
3342.9936						213.36000061	Well_4
3343.1936						212.24909973	Well_4
3343.3936						210.57020569	Well_4
3343.5936						210.07359314	Well_4
3343.7936						210.03250122	Well_4
3343.9936						210.45750427	Well_4
3344.1936						210.85719299	Well_4
3344.3936						210.94059753	Well_4
3344.5936						212.01159668	Well_4
3344.7936						213.74969482	Well_4
3344.9936						215.65289307	Well_4
3345.1936						218.94490051	Well_4
3345.3936						226.39439392	Well_4
3345.5936						227.33470154	Well_4
3345.7936						226.4355011	Well_4
3345.9936						225.94509888	Well_4
3346.1936						226.15769958	Well_4
3346.3936						226.21949768	Well_4
3346.5936						225.04930115	Well_4
3346.7936						223.27450562	Well_4
3346.9936						220.14390564	Well_4
3347.1936						216.8374939	Well_4
3347.3936						216.60499573	Well_4
3347.5936						216.85470581	Well_4
3347.7936						218.36549377	Well_4
3347.9936						220.25959778	Well_4
3348.1936						222.56610107	Well_4
3348.3936						222.41990662	Well_4
3348.5936						221.35780334	Well_4
3348.7936						221.42959595	Well_4
3348.9936						217.49659729	Well_4
3349.1936						212.92010498	Well_4
3349.3936						209.23829651	Well_4
3349.5936						209.45880127	Well_4
3349.7936						209.37049866	Well_4
3349.9936						208.03829956	Well_4
3350.1936						204.44439697	Well_4
3350.3936						201.34689331	Well_4
3350.5936						202.8730011	Well_4
3350.7936						205.9066925	Well_4
3350.9936						204.82319641	Well_4
3351.1936						203.40339661	Well_4
3351.3936						202.64219666	Well_4
3351.5936						206.41389465	Well_4
3351.7936						211.15220642	Well_4
3351.9936						213.61199951	Well_4
3352.1936						208.25849915	Well_4
3352.3936						204.14849854	Well_4
3352.5936						203.56129456	Well_4
3352.7936						205.59410095	Well_4
3352.9936						207.60920715	Well_4
3353.1936						204.92100525	Well_4
3353.3936						203.05059814	Well_4
3353.5936						205.49099731	Well_4
3353.7936						207.65539551	Well_4
3353.9936						207.74740601	Well_4
3354.1936						207.2191925	Well_4
3354.3936						207.19219971	Well_4
3354.5936						205.49650574	Well_4
3354.7936						206.3321991	Well_4
3354.9936						207.60850525	Well_4
3355.1936						204.90919495	Well_4
3355.3936						202.14219666	Well_4
3355.5936						198.15641785	Well_4
3355.7936						196.36149597	Well_4
3355.9936						194.49389648	Well_4
3356.1936						195.38090515	Well_4
3356.3936						201.25079346	Well_4
3356.5936						207.90879822	Well_4
3356.7936						212.82719421	Well_4
3356.9936						223.03849792	Well_4
3357.1936						226.15750122	Well_4
3357.3936						226.88749695	Well_4
3357.5936						224.38139343	Well_4
3357.7936						222.44430542	Well_4
3357.9936						220.9980011	Well_4
3358.1936						221.50740051	Well_4
3358.3936						221.10299683	Well_4
3358.5936						220.93260193	Well_4
3358.7936						220.16116333	Well_4
3358.9936						217.28250122	Well_4
3359.1936						215.17539978	Well_4
3359.3936						214.34620667	Well_4
3359.5936						213.82739258	Well_4
3359.7936						210.50889587	Well_4
3359.9936						205.85980225	Well_4
3360.1936						201.68609619	Well_4
3360.3936						201.05760193	Well_4
3360.5936						197.96609497	Well_4
3360.7936						195.66589355	Well_4
3360.9936						197.10719299	Well_4
3361.1936						194.47999573	Well_4
3361.3936						191.91749573	Well_4
3361.5936						195.44790649	Well_4
3361.7936						200.69259644	Well_4
3361.9936						201.91859436	Well_4
3362.1936						193.626297	Well_4
3362.3936						196.53709412	Well_4
3362.5936						200.6434021	Well_4
3362.7936						204.87590027	Well_4
3362.9936						212.12950134	Well_4
3363.1936						220.15240479	Well_4
