MD	GR	RHOB	PHIE	DTCO	PHI_ALT	DTS	WELL
2444.6698							Well_10
2444.8698							Well_10
2445.0698							Well_10
2445.2698							Well_10
2445.4698							Well_10
2445.6698							Well_10
2445.8698							Well_10
2446.0698							Well_10
2446.2698							Well_10
2446.4698							Well_10
2446.6698							Well_10
2446.8698							Well_10
2447.0698							Well_10
2447.2698							Well_10
2447.4698							Well_10
2447.6698							Well_10
2447.8698							Well_10
2448.0698							Well_10
2448.2698							Well_10
2448.4698							Well_10
2448.6698							Well_10
2448.8698							Well_10
2449.0698							Well_10
2449.2698							Well_10
2449.4698							Well_10
2449.6698							Well_10
2449.8698							Well_10
2450.0698							Well_10
2450.2698							Well_10
2450.4698							Well_10
2450.6698							Well_10
2450.8698							Well_10
2451.0698							Well_10
2451.2698							Well_10
2451.4698							Well_10
2451.6698							Well_10
2451.8698							Well_10
2452.0698							Well_10
2452.2698							Well_10
2452.4698							Well_10
2452.6698							Well_10
2452.8698							Well_10
2453.0698							Well_10
2453.2698							Well_10
2453.4698							Well_10
2453.6698							Well_10
2453.8698							Well_10
2454.0698							Well_10
2454.2698							Well_10
2454.4698							Well_10
2454.6698							Well_10
2454.8698							Well_10
2455.0698							Well_10
2455.2698							Well_10
2455.4698							Well_10
2455.6698							Well_10
2455.8698							Well_10
2456.0698							Well_10
2456.2698							Well_10
2456.4698							Well_10
2456.6698							Well_10
2456.8698							Well_10
2457.0698							Well_10
2457.2698							Well_10
2457.4698							Well_10
2457.6698							Well_10
2457.8698							Well_10
2458.0698							Well_10
2458.2698							Well_10
2458.4698							Well_10
2458.6698							Well_10
2458.8698							Well_10
2459.0698							Well_10
2459.2698							Well_10
2459.4698							Well_10
2459.6698							Well_10
2459.8698							Well_10
2460.0698							Well_10
2460.2698							Well_10
2460.4698							Well_10
2460.6698							Well_10
2460.8698							Well_10
2461.0698							Well_10
2461.2698							Well_10
2461.4698							Well_10
2461.6698							Well_10
2461.8698							Well_10
2462.0698							Well_10
2462.2698							Well_10
2462.4698							Well_10
2462.6698							Well_10
2462.8698							Well_10
2463.0698							Well_10
2463.2698							Well_10
2463.4698							Well_10
2463.6698							Well_10
2463.8698							Well_10
2464.0698							Well_10
2464.2698							Well_10
2464.4698							Well_10
2464.6698							Well_10
2464.8698							Well_10
2465.0698							Well_10
2465.2698							Well_10
2465.4698							Well_10
2465.6698							Well_10
2465.8698							Well_10
2466.0698							Well_10
2466.2698							Well_10
2466.4698							Well_10
2466.6698							Well_10
2466.8698							Well_10
2467.0698							Well_10
2467.2698							Well_10
2467.4698							Well_10
2467.6698							Well_10
2467.8698							Well_10
2468.0698							Well_10
2468.2698							Well_10
2468.4698							Well_10
2468.6698							Well_10
2468.8698							Well_10
2469.0698							Well_10
2469.2698							Well_10
2469.4698							Well_10
2469.6698							Well_10
2469.8698							Well_10
2470.0698							Well_10
2470.2698							Well_10
2470.4698							Well_10
2470.6698							Well_10
2470.8698							Well_10
2471.0698							Well_10
2471.2698							Well_10
2471.4698							Well_10
2471.6698							Well_10
2471.8698							Well_10
2472.0698							Well_10
2472.2698							Well_10
