MD	DTCO	GR	RHOB	PHIE	PHI_ALT	DTS	WELL
2289.9624							Well_1
2290.1624							Well_1
2290.3624							Well_1
2290.5624							Well_1
2290.7624							Well_1
2290.9624							Well_1
2291.1624							Well_1
2291.3624							Well_1
2291.5624							Well_1
2291.7624							Well_1
2291.9624							Well_1
2292.1624							Well_1
2292.3624							Well_1
2292.5624							Well_1
2292.7624							Well_1
2292.9624							Well_1
2293.1624							Well_1
2293.3624							Well_1
2293.5624							Well_1
2293.7624							Well_1
2293.9624							Well_1
2294.1624							Well_1
2294.3624							Well_1
2294.5624							Well_1
2294.7624							Well_1
2294.9624							Well_1
2295.1624							Well_1
2295.3624							Well_1
2295.5624							Well_1
2295.7624							Well_1
2295.9624							Well_1
2296.1624							Well_1
2296.3624							Well_1
2296.5624							Well_1
2296.7624							Well_1
2296.9624							Well_1
2297.1624							Well_1
2297.3624							Well_1
2297.5624							Well_1
2297.7624							Well_1
2297.9624							Well_1
2298.1624							Well_1
2298.3624							Well_1
2298.5624							Well_1
2298.7624							Well_1
2298.9624							Well_1
2299.1624							Well_1
2299.3624							Well_1
2299.5624							Well_1
2299.7624							Well_1
2299.9624							Well_1
2300.1624							Well_1
2300.3624							Well_1
2300.5624							Well_1
2300.7624							Well_1
2300.9624							Well_1
2301.1624							Well_1
2301.3624							Well_1
2301.5624							Well_1
2301.7624							Well_1
2301.9624							Well_1
2302.1624							Well_1
2302.3624							Well_1
2302.5624							Well_1
2302.7624							Well_1
2302.9624							Well_1
2303.1624							Well_1
2303.3624							Well_1
2303.5624							Well_1
2303.7624							Well_1
2303.9624							Well_1
2304.1624							Well_1
2304.3624							Well_1
2304.5624							Well_1
2304.7624							Well_1
2304.9624							Well_1
2305.1624							Well_1
2305.3624							Well_1
2305.5624							Well_1
2305.7624							Well_1
2305.9624							Well_1
2306.1624							Well_1
2306.3624							Well_1
2306.5624							Well_1
2306.7624							Well_1
2306.9624							Well_1
2307.1624							Well_1
2307.3624							Well_1
2307.5624							Well_1
2307.7624							Well_1
2307.9624							Well_1
2308.1624							Well_1
2308.3624							Well_1
2308.5624							Well_1
2308.7624							Well_1
2308.9624							Well_1
2309.1624							Well_1
2309.3624							Well_1
2309.5624							Well_1
2309.7624							Well_1
2309.9624							Well_1
2310.1624							Well_1
2310.3624							Well_1
2310.5624							Well_1
2310.7624							Well_1
2310.9624							Well_1
2311.1624							Well_1
2311.3624							Well_1
2311.5624							Well_1
2311.7624							Well_1
2311.9624							Well_1
2312.1624							Well_1
2312.3624							Well_1
2312.5624							Well_1
2312.7624							Well_1
2312.9624							Well_1
2313.1624							Well_1
2313.3624							Well_1
2313.5624							Well_1
2313.7624							Well_1
2313.9624							Well_1
2314.1624							Well_1
2314.3624							Well_1
2314.5624							Well_1
2314.7624							Well_1
2314.9624							Well_1
2315.1624							Well_1
2315.3624							Well_1
2315.5624							Well_1
2315.7624							Well_1
2315.9624							Well_1
2316.1624							Well_1
2316.3624							Well_1
2316.5624							Well_1
2316.7624							Well_1
2316.9624							Well_1
2317.1624							Well_1
2317.3624							Well_1
2317.5624							Well_1
2317.7624							Well_1
2317.9624							Well_1
2318.1624							Well_1
2318.3624							Well_1
2318.5624							Well_1
2318.7624							Well_1
2318.9624							Well_1
2319.1624							Well_1
2319.3624							Well_1
2319.5624							Well_1
2319.7624							Well_1
2319.9624							Well_1
2320.1624							Well_1
2320.3624							Well_1
2320.5624							Well_1
2320.7624							Well_1
2320.9624							Well_1
2321.1624							Well_1
2321.3624							Well_1
2321.5624							Well_1
2321.7624							Well_1
2321.9624							Well_1
2322.1624							Well_1
2322.3624							Well_1
2322.5624							Well_1
2322.7624							Well_1
2322.9624							Well_1
2323.1624							Well_1
2323.3624							Well_1
2323.5624							Well_1
2323.7624							Well_1
2323.9624							Well_1
2324.1624							Well_1
2324.3624							Well_1
2324.5624							Well_1
2324.7624							Well_1
2324.9624							Well_1
2325.1624							Well_1
2325.3624							Well_1
2325.5624							Well_1
2325.7624							Well_1
2325.9624							Well_1
2326.1624							Well_1
2326.3624							Well_1
2326.5624							Well_1
2326.7624							Well_1
2326.9624							Well_1
2327.1624							Well_1
2327.3624							Well_1
2327.5624							Well_1
2327.7624							Well_1
2327.9624							Well_1
2328.1624							Well_1
2328.3624							Well_1
2328.5624							Well_1
2328.7624							Well_1
2328.9624							Well_1
2329.1624							Well_1
2329.3624							Well_1
2329.5624							Well_1
2329.7624							Well_1
2329.9624							Well_1
2330.1624							Well_1
2330.3624							Well_1
2330.5624							Well_1
2330.7624							Well_1
2330.9624							Well_1
2331.1624							Well_1
2331.3624							Well_1
2331.5624							Well_1
2331.7624							Well_1
2331.9624							Well_1
2332.1624							Well_1
2332.3624							Well_1
2332.5624							Well_1
2332.7624							Well_1
2332.9624							Well_1
2333.1624							Well_1
2333.3624							Well_1
2333.5624							Well_1
2333.7624							Well_1
2333.9624							Well_1
2334.1624							Well_1
2334.3624							Well_1
2334.5624							Well_1
2334.7624							Well_1
2334.9624							Well_1
2335.1624							Well_1
2335.3624							Well_1
2335.5624							Well_1
2335.7624							Well_1
2335.9624							Well_1
2336.1624							Well_1
2336.3624							Well_1
2336.5624							Well_1
2336.7624							Well_1
2336.9624							Well_1
2337.1624							Well_1
2337.3624							Well_1
2337.5624							Well_1
2337.7624							Well_1
2337.9624							Well_1
2338.1624							Well_1
2338.3624							Well_1
2338.5624							Well_1
2338.7624							Well_1
2338.9624							Well_1
2339.1624							Well_1
2339.3624							Well_1
2339.5624							Well_1
2339.7624							Well_1
2339.9624							Well_1
2340.1624							Well_1
2340.3624							Well_1
2340.5624							Well_1
2340.7624							Well_1
2340.9624							Well_1
2341.1624							Well_1
2341.3624							Well_1
2341.5624							Well_1
2341.7624							Well_1
2341.9624							Well_1
2342.1624							Well_1
2342.3624							Well_1
2342.5624							Well_1
2342.7624							Well_1
2342.9624							Well_1
2343.1624							Well_1
2343.3624							Well_1
