MD	PHIE	DTCO	GR	RHOB	PHI_ALT	DTS	WELL
2282.4908							Well_3
2282.6908							Well_3
2282.8908							Well_3
2283.0908							Well_3
2283.2908							Well_3
2283.4908							Well_3
2283.6908							Well_3
2283.8908							Well_3
2284.0908							Well_3
2284.2908							Well_3
2284.4908							Well_3
2284.6908							Well_3
2284.8908							Well_3
2285.0908							Well_3
2285.2908							Well_3
2285.4908							Well_3
2285.6908							Well_3
2285.8908							Well_3
2286.0908							Well_3
2286.2908							Well_3
2286.4908							Well_3
2286.6908							Well_3
2286.8908							Well_3
2287.0908							Well_3
2287.2908							Well_3
2287.4908							Well_3
2287.6908							Well_3
2287.8908							Well_3
2288.0908							Well_3
2288.2908							Well_3
2288.4908							Well_3
2288.6908							Well_3
2288.8908							Well_3
2289.0908							Well_3
2289.2908							Well_3
2289.4908							Well_3
2289.6908							Well_3
2289.8908							Well_3
2290.0908							Well_3
2290.2908							Well_3
2290.4908							Well_3
2290.6908							Well_3
2290.8908							Well_3
2291.0908							Well_3
2291.2908							Well_3
2291.4908							Well_3
2291.6908							Well_3
2291.8908							Well_3
2292.0908							Well_3
2292.2908							Well_3
2292.4908							Well_3
2292.6908							Well_3
2292.8908							Well_3
2293.0908							Well_3
2293.2908							Well_3
2293.4908							Well_3
2293.6908							Well_3
2293.8908							Well_3
2294.0908							Well_3
2294.2908							Well_3
2294.4908							Well_3
2294.6908							Well_3
2294.8908							Well_3
2295.0908							Well_3
2295.2908							Well_3
2295.4908							Well_3
2295.6908							Well_3
2295.8908							Well_3
2296.0908							Well_3
2296.2908							Well_3
2296.4908							Well_3
2296.6908							Well_3
2296.8908							Well_3
2297.0908							Well_3
2297.2908							Well_3
2297.4908							Well_3
2297.6908							Well_3
2297.8908							Well_3
2298.0908							Well_3
2298.2908							Well_3
2298.4908							Well_3
2298.6908							Well_3
2298.8908							Well_3
2299.0908							Well_3
2299.2908							Well_3
2299.4908							Well_3
2299.6908							Well_3
2299.8908							Well_3
2300.0908							Well_3
2300.2908							Well_3
2300.4908							Well_3
2300.6908							Well_3
2300.8908							Well_3
2301.0908							Well_3
2301.2908							Well_3
2301.4908							Well_3
2301.6908							Well_3
2301.8908							Well_3
2302.0908							Well_3
2302.2908							Well_3
2302.4908							Well_3
2302.6908							Well_3
2302.8908							Well_3
2303.0908							Well_3
2303.2908							Well_3
2303.4908							Well_3
2303.6908							Well_3
2303.8908							Well_3
2304.0908							Well_3
2304.2908							Well_3
2304.4908							Well_3
2304.6908							Well_3
2304.8908							Well_3
2305.0908							Well_3
2305.2908							Well_3
2305.4908							Well_3
2305.6908							Well_3
2305.8908							Well_3
2306.0908							Well_3
2306.2908							Well_3
2306.4908							Well_3
2306.6908							Well_3
2306.8908							Well_3
2307.0908							Well_3
2307.2908							Well_3
2307.4908							Well_3
2307.6908							Well_3
2307.8908							Well_3
2308.0908							Well_3
2308.2908							Well_3
2308.4908							Well_3
2308.6908							Well_3
2308.8908							Well_3
2309.0908							Well_3
2309.2908							Well_3
2309.4908							Well_3
2309.6908							Well_3
2309.8908							Well_3
2310.0908							Well_3
2310.2908							Well_3
2310.4908							Well_3
2310.6908							Well_3
2310.8908							Well_3
2311.0908							Well_3
2311.2908							Well_3
2311.4908							Well_3
2311.6908							Well_3
2311.8908							Well_3
2312.0908							Well_3
2312.2908							Well_3
2312.4908							Well_3
2312.6908							Well_3
2312.8908							Well_3
2313.0908							Well_3
2313.2908							Well_3
2313.4908							Well_3
2313.6908							Well_3
2313.8908							Well_3
2314.0908							Well_3
2314.2908							Well_3
2314.4908							Well_3
2314.6908							Well_3
2314.8908							Well_3
2315.0908							Well_3
2315.2908							Well_3
2315.4908							Well_3
2315.6908							Well_3
2315.8908							Well_3
2316.0908							Well_3
2316.2908							Well_3
2316.4908							Well_3
2316.6908							Well_3
2316.8908							Well_3
2317.0908							Well_3
2317.2908							Well_3
2317.4908							Well_3
2317.6908							Well_3
2317.8908							Well_3
2318.0908							Well_3
2318.2908							Well_3
2318.4908							Well_3
2318.6908							Well_3
2318.8908							Well_3
2319.0908							Well_3
2319.2908							Well_3
2319.4908							Well_3
2319.6908							Well_3
2319.8908							Well_3
2320.0908							Well_3
2320.2908							Well_3
2320.4908							Well_3
2320.6908							Well_3
2320.8908							Well_3
2321.0908							Well_3
2321.2908							Well_3
2321.4908							Well_3
2321.6908							Well_3
2321.8908							Well_3
2322.0908							Well_3
2322.2908							Well_3
2322.4908							Well_3
2322.6908							Well_3
2322.8908							Well_3
2323.0908							Well_3
2323.2908							Well_3
2323.4908							Well_3
2323.6908							Well_3
2323.8908							Well_3
2324.0908							Well_3
2324.2908							Well_3
2324.4908							Well_3
2324.6908							Well_3
2324.8908							Well_3
2325.0908							Well_3
2325.2908							Well_3
2325.4908							Well_3
2325.6908							Well_3
2325.8908							Well_3
2326.0908							Well_3
2326.2908							Well_3
2326.4908							Well_3
2326.6908							Well_3
2326.8908							Well_3
2327.0908							Well_3
2327.2908							Well_3
2327.4908							Well_3
2327.6908							Well_3
2327.8908							Well_3
2328.0908							Well_3
2328.2908							Well_3
2328.4908							Well_3
2328.6908							Well_3
2328.8908							Well_3
2329.0908							Well_3
2329.2908							Well_3
2329.4908							Well_3
2329.6908							Well_3
2329.8908							Well_3
2330.0908							Well_3
2330.2908							Well_3
2330.4908							Well_3
2330.6908							Well_3
2330.8908							Well_3
2331.0908							Well_3
2331.2908							Well_3
2331.4908							Well_3
2331.6908							Well_3
2331.8908							Well_3
2332.0908							Well_3
2332.2908							Well_3
2332.4908							Well_3
2332.6908							Well_3
2332.8908							Well_3
2333.0908							Well_3
2333.2908							Well_3
2333.4908							Well_3
2333.6908							Well_3
2333.8908							Well_3
2334.0908							Well_3
2334.2908							Well_3
2334.4908							Well_3
2334.6908							Well_3
2334.8908							Well_3
2335.0908							Well_3
2335.2908							Well_3
2335.4908							Well_3
2335.6908							Well_3
2335.8908							Well_3
2336.0908							Well_3
2336.2908							Well_3
2336.4908							Well_3
2336.6908							Well_3
2336.8908							Well_3
2337.0908							Well_3
2337.2908							Well_3
2337.4908							Well_3
2337.6908							Well_3
2337.8908							Well_3
2338.0908							Well_3
2338.2908							Well_3
2338.4908							Well_3
2338.6908							Well_3
2338.8908							Well_3
2339.0908							Well_3
2339.2908							Well_3
2339.4908							Well_3
2339.6908							Well_3
2339.8908							Well_3
2340.0908							Well_3
2340.2908							Well_3
2340.4908							Well_3
2340.6908							Well_3
2340.8908							Well_3
2341.0908							Well_3
2341.2908							Well_3
2341.4908							Well_3
2341.6908							Well_3
2341.8908							Well_3
2342.0908							Well_3
2342.2908							Well_3
2342.4908							Well_3
2342.6908							Well_3
2342.8908							Well_3
2343.0908							Well_3
2343.2908							Well_3
2343.4908							Well_3
2343.6908							Well_3
2343.8908							Well_3
2344.0908							Well_3
2344.2908							Well_3
2344.4908							Well_3
2344.6908							Well_3
2344.8908							Well_3
2345.0908							Well_3
2345.2908							Well_3
2345.4908							Well_3
2345.6908							Well_3
2345.8908							Well_3
2346.0908							Well_3
2346.2908							Well_3
2346.4908							Well_3
2346.6908							Well_3
2346.8908							Well_3
2347.0908							Well_3
2347.2908							Well_3
2347.4908							Well_3
2347.6908							Well_3
2347.8908							Well_3
2348.0908							Well_3
2348.2908							Well_3
2348.4908							Well_3
2348.6908							Well_3
2348.8908							Well_3
2349.0908							Well_3
2349.2908							Well_3
2349.4908							Well_3
2349.6908							Well_3
2349.8908							Well_3
2350.0908							Well_3
2350.2908							Well_3
2350.4908							Well_3
2350.6908							Well_3
2350.8908							Well_3
2351.0908							Well_3
2351.2908							Well_3
2351.4908							Well_3
2351.6908							Well_3
2351.8908							Well_3
2352.0908							Well_3
2352.2908							Well_3
2352.4908							Well_3
2352.6908							Well_3
2352.8908							Well_3
2353.0908							Well_3
2353.2908							Well_3
2353.4908							Well_3
2353.6908							Well_3
2353.8908							Well_3
2354.0908							Well_3
2354.2908							Well_3
2354.4908							Well_3
2354.6908							Well_3
2354.8908							Well_3
2355.0908							Well_3
2355.2908							Well_3
2355.4908							Well_3
2355.6908							Well_3
2355.8908							Well_3
2356.0908							Well_3
2356.2908							Well_3
2356.4908							Well_3
2356.6908							Well_3
2356.8908							Well_3
2357.0908							Well_3
2357.2908							Well_3
2357.4908							Well_3
2357.6908							Well_3
2357.8908							Well_3
2358.0908							Well_3
2358.2908							Well_3
2358.4908							Well_3
2358.6908							Well_3
2358.8908							Well_3
2359.0908							Well_3
2359.2908							Well_3
2359.4908							Well_3
2359.6908							Well_3
2359.8908							Well_3
2360.0908							Well_3
2360.2908							Well_3
2360.4908							Well_3
2360.6908							Well_3
2360.8908							Well_3
2361.0908							Well_3
2361.2908							Well_3
2361.4908							Well_3
2361.6908							Well_3
2361.8908							Well_3
2362.0908							Well_3
2362.2908							Well_3
2362.4908							Well_3
2362.6908							Well_3
2362.8908							Well_3
2363.0908							Well_3
2363.2908							Well_3
2363.4908							Well_3
2363.6908							Well_3
2363.8908							Well_3
2364.0908							Well_3
2364.2908							Well_3
2364.4908							Well_3
2364.6908							Well_3
2364.8908							Well_3
2365.0908							Well_3
2365.2908							Well_3
2365.4908							Well_3
2365.6908							Well_3
2365.8908							Well_3
2366.0908							Well_3
2366.2908							Well_3
2366.4908							Well_3
2366.6908							Well_3
2366.8908							Well_3
2367.0908							Well_3
2367.2908							Well_3
2367.4908							Well_3
2367.6908							Well_3
2367.8908							Well_3
2368.0908							Well_3
2368.2908							Well_3
2368.4908							Well_3
2368.6908							Well_3
2368.8908							Well_3
2369.0908							Well_3
2369.2908							Well_3
2369.4908							Well_3
2369.6908							Well_3
2369.8908							Well_3
2370.0908							Well_3
2370.2908							Well_3
2370.4908							Well_3
2370.6908							Well_3
2370.8908							Well_3
2371.0908							Well_3
2371.2908							Well_3
2371.4908							Well_3
2371.6908							Well_3
2371.8908							Well_3
2372.0908							Well_3
2372.2908							Well_3
2372.4908							Well_3
2372.6908							Well_3
2372.8908							Well_3
2373.0908							Well_3
2373.2908							Well_3
2373.4908							Well_3
2373.6908							Well_3
2373.8908							Well_3
2374.0908							Well_3
2374.2908							Well_3
2374.4908							Well_3
2374.6908							Well_3
2374.8908							Well_3
2375.0908							Well_3
2375.2908							Well_3
2375.4908							Well_3
2375.6908							Well_3
2375.8908							Well_3
2376.0908							Well_3
2376.2908							Well_3
2376.4908							Well_3
2376.6908							Well_3
2376.8908							Well_3
2377.0908							Well_3
2377.2908							Well_3
2377.4908							Well_3
2377.6908							Well_3
2377.8908							Well_3
2378.0908							Well_3
2378.2908							Well_3
2378.4908							Well_3
2378.6908							Well_3
2378.8908							Well_3
2379.0908							Well_3
2379.2908							Well_3
2379.4908							Well_3
2379.6908							Well_3
2379.8908							Well_3
2380.0908							Well_3
2380.2908							Well_3
2380.4908							Well_3
2380.6908							Well_3
2380.8908							Well_3
2381.0908							Well_3
2381.2908							Well_3
2381.4908							Well_3
2381.6908							Well_3
2381.8908							Well_3
2382.0908							Well_3
2382.2908							Well_3
2382.4908							Well_3
2382.6908							Well_3
2382.8908							Well_3
2383.0908							Well_3
2383.2908							Well_3
2383.4908							Well_3
2383.6908							Well_3
2383.8908							Well_3
2384.0908							Well_3
2384.2908							Well_3
2384.4908							Well_3
2384.6908							Well_3
2384.8908							Well_3
2385.0908							Well_3
2385.2908							Well_3
2385.4908							Well_3
2385.6908							Well_3
2385.8908							Well_3
2386.0908							Well_3
2386.2908							Well_3
2386.4908							Well_3
2386.6908							Well_3
2386.8908							Well_3
2387.0908							Well_3
2387.2908							Well_3
2387.4908							Well_3
2387.6908							Well_3
2387.8908							Well_3
2388.0908							Well_3
2388.2908							Well_3
2388.4908							Well_3
2388.6908							Well_3
2388.8908							Well_3
2389.0908							Well_3
2389.2908							Well_3
2389.4908							Well_3
2389.6908							Well_3
2389.8908							Well_3
2390.0908							Well_3
2390.2908							Well_3
2390.4908							Well_3
2390.6908							Well_3
2390.8908							Well_3
2391.0908							Well_3
2391.2908							Well_3
2391.4908							Well_3
2391.6908							Well_3
2391.8908							Well_3
2392.0908							Well_3
2392.2908							Well_3
2392.4908							Well_3
2392.6908							Well_3
2392.8908							Well_3
2393.0908							Well_3
2393.2908							Well_3
2393.4908							Well_3
2393.6908							Well_3
2393.8908							Well_3
2394.0908							Well_3
2394.2908							Well_3
2394.4908							Well_3
2394.6908							Well_3
2394.8908							Well_3
2395.0908							Well_3
2395.2908							Well_3
2395.4908							Well_3
2395.6908							Well_3
2395.8908							Well_3
2396.0908							Well_3
2396.2908							Well_3
2396.4908							Well_3
2396.6908							Well_3
2396.8908							Well_3
2397.0908							Well_3
2397.2908							Well_3
2397.4908							Well_3
2397.6908							Well_3
2397.8908							Well_3
2398.0908							Well_3
2398.2908							Well_3
2398.4908							Well_3
2398.6908							Well_3
2398.8908							Well_3
2399.0908							Well_3
2399.2908							Well_3
2399.4908							Well_3
2399.6908							Well_3
2399.8908							Well_3
2400.0908							Well_3
2400.2908							Well_3
2400.4908							Well_3
2400.6908							Well_3
2400.8908							Well_3
2401.0908							Well_3
2401.2908							Well_3
2401.4908							Well_3
2401.6908							Well_3
2401.8908							Well_3
2402.0908							Well_3
2402.2908							Well_3
2402.4908							Well_3
2402.6908							Well_3
2402.8908							Well_3
2403.0908							Well_3
2403.2908							Well_3
2403.4908							Well_3
2403.6908							Well_3
2403.8908							Well_3
2404.0908							Well_3
2404.2908							Well_3
2404.4908							Well_3
2404.6908							Well_3
2404.8908							Well_3
2405.0908							Well_3
2405.2908							Well_3
2405.4908							Well_3
2405.6908							Well_3
2405.8908							Well_3
2406.0908							Well_3
2406.2908							Well_3
2406.4908							Well_3
2406.6908							Well_3
2406.8908							Well_3
2407.0908							Well_3
2407.2908							Well_3
2407.4908							Well_3
2407.6908							Well_3
2407.8908							Well_3
2408.0908							Well_3
2408.2908							Well_3
2408.4908							Well_3
2408.6908							Well_3
2408.8908							Well_3
2409.0908							Well_3
2409.2908							Well_3
2409.4908							Well_3
2409.6908							Well_3
2409.8908							Well_3
2410.0908							Well_3
2410.2908							Well_3
2410.4908							Well_3
2410.6908							Well_3
2410.8908							Well_3
2411.0908							Well_3
2411.2908							Well_3
2411.4908							Well_3
2411.6908							Well_3
2411.8908							Well_3
2412.0908							Well_3
2412.2908							Well_3
2412.4908							Well_3
2412.6908							Well_3
2412.8908							Well_3
2413.0908							Well_3
2413.2908							Well_3
2413.4908							Well_3
2413.6908							Well_3
2413.8908							Well_3
2414.0908							Well_3
2414.2908							Well_3
2414.4908							Well_3
2414.6908							Well_3
2414.8908							Well_3
2415.0908							Well_3
2415.2908							Well_3
2415.4908							Well_3
2415.6908							Well_3
2415.8908							Well_3
2416.0908							Well_3
2416.2908							Well_3
2416.4908							Well_3
2416.6908							Well_3
2416.8908							Well_3
2417.0908							Well_3
2417.2908							Well_3
2417.4908							Well_3
2417.6908							Well_3
2417.8908							Well_3
2418.0908							Well_3
2418.2908							Well_3
2418.4908							Well_3
2418.6908							Well_3
2418.8908							Well_3
2419.0908							Well_3
2419.2908							Well_3
2419.4908							Well_3
2419.6908							Well_3
2419.8908							Well_3
2420.0908							Well_3
2420.2908							Well_3
2420.4908							Well_3
2420.6908							Well_3
2420.8908							Well_3
2421.0908							Well_3
2421.2908							Well_3
2421.4908							Well_3
2421.6908							Well_3
2421.8908							Well_3
2422.0908							Well_3
2422.2908							Well_3
