MD	DTCO	GR	RHOB	PHIE	PHI_ALT	DTS	WELL
5325.2732	57.338874817	10.461620331	0.0	0.0	-0.174810231		Well_8
5325.4732	57.593097687	11.611568451	0.0	0.0	-0.216579288		Well_8
5325.6732	57.406959534	13.760779381	0.0	0.0	-0.231041178		Well_8
5325.8732	56.802703857	35.953170776	0.0	0.0	-0.245757371		Well_8
5326.0732	56.669200897	178.70663452	0.0	0.0	-0.232219547		Well_8
5326.2732	56.32566452	374.67001343	0.0	0.0	-0.220879719		Well_8
5326.4732	56.150398254	221.9402771	0.0	0.0	-0.233908623		Well_8
5326.6732	55.915641785	33.994483948	0.0	0.0	-0.249622896		Well_8
5326.8732	55.624099731	12.712430954	2.2526557446	0.0	-0.248421252		Well_8
5327.0732	55.650047302	12.837150574	2.7255294323	0.0	-0.253736019		Well_8
5327.2732	56.333683014	12.14026165	2.3308489323	0.0	-0.243835345		Well_8
5327.4732	58.295814514	11.565069199	2.227088213	0.0	-0.222554997		Well_8
5327.6732	60.9753685	11.001831055	2.0711197853	0.0	-0.216878921		Well_8
5327.8732	64.036437988	9.3959779739	1.8819627762	0.0	-0.219062433		Well_8
5328.0732	67.49105835	8.5278902054	1.886090517	0.0	-0.254010618		Well_8
5328.2732	68.749343872	8.708814621	1.9286530018	0.0	-0.331969291		Well_8
5328.4732	69.596710205	8.5072917938	1.979839325	0.0	-0.362037092		Well_8
5328.6732	69.509353638	7.7658615112	2.0468275547	0.0	-0.357109696		Well_8
5328.8732	69.045761108	6.9880070686	2.0524744987	0.0	-0.352448821		Well_8
5329.0732	68.245544434	6.8332509995	1.9984368086	0.0	-0.352029711		Well_8
5329.2732	67.827072144	7.0089402199	1.9475181103	0.0	-0.34858337		Well_8
5329.4732	67.530563354	7.102107048	1.9344278574	0.0	-0.341391891		Well_8
5329.6732	67.218551636	7.0123028755	1.9649401903	0.0	-0.33825627		Well_8
5329.8732	66.859962463	7.2952589989	2.0008544922	0.0	-0.345370859		Well_8
5330.0732	67.326530457	5.7641539574	1.9985868931	0.0	-0.349330902		Well_8
5330.2732	67.446350098	5.3420543671	2.012193203	0.0	-0.372664571		Well_8
5330.4732	67.051368713	5.9156427383	2.0042896271	0.0	-0.382428229		Well_8
5330.6732	66.901313782	6.7151713371	1.9895942211	0.0	-0.356826246		Well_8
5330.8732	66.684524536	7.8582673073	1.9998912811	0.0	-0.348064601		Well_8
5331.0732	66.342384338	7.6518235207	2.02267313	0.0	-0.351548851		Well_8
5331.2732	65.828224182	7.3807611465	2.0345237255	0.0	-0.352156103		Well_8
5331.4732	65.864471436	7.2031288147	1.9936941862	0.0	-0.367377758		Well_8
5331.6732	66.280151367	6.9056134224	1.9368063211	0.0	-0.398620188		Well_8
5331.8732	66.367156982	7.6532964706	1.9328260422	0.0	-0.409686625		Well_8
5332.0732	66.48841095	8.2447719574	1.9819556475	0.0	-0.414956421		Well_8
5332.2732	66.989273071	7.6079826355	2.0259897709	0.0	-0.421789199		Well_8
5332.4732	67.249664307	7.3210139275	2.0471372604	0.0	-0.417693973		Well_8
5332.6732	67.519172668	8.549407959	2.0375781059	0.0	-0.399757057		Well_8
5332.8732	67.746559143	8.5237483978	2.0224938393	0.0	-0.395448864		Well_8
5333.0732	68.340118408	7.0932631493	1.9781498909	0.0	-0.38363716		Well_8
5333.2732	67.976966858	6.8532342911	1.9424372911	0.0	-0.372153789		Well_8
5333.4732	65.711425781	7.2822747231	1.9583826065	0.0	-0.398937255		Well_8
5333.6732	61.597610474	8.5295410156	2.0013549328	0.0	-0.423607945		Well_8
5333.8732	57.031494141	8.9506282806	2.0102500916	0.0	-0.400555998		Well_8
5334.0732	52.0952034	8.4818553925	2.0178740025	0.0	-0.332512051		Well_8
5334.2732	50.534614563	8.0597343445	2.0164232254	0.0	-0.250249177		Well_8
5334.4732	47.691379547	9.3631706238	2.006759882	0.0	-0.208286002		Well_8
5334.6732	46.768730164	10.460292816	2.0319809914	0.0	-0.195488051		Well_8
5334.8732	47.556156158	9.7001399994	2.0791244507	0.0	-0.205676869		Well_8
5335.0732	48.403255463	8.9946174622	2.1194396019	0.0	-0.202412367		Well_8
5335.2732	49.922122955	8.1119909286	2.1042521	0.0	-0.206499949		Well_8
5335.4732	51.144565582	7.7590999603	2.0483999252	0.0	-0.203033909		Well_8
5335.6732	51.624771118	8.646062851	1.9847470522	0.0	-0.196633756		Well_8
5335.8732	68.533042908	10.191907883	1.9981826544	0.0	-0.133957624		Well_8
5336.0732	71.519432068	11.827362061	2.0549726486	0.0	-0.161056131		Well_8
5336.2732	73.375862122	15.315146446	2.1005306244	0.0	-0.154264301		Well_8
5336.4732	72.96497345	17.892154694	2.125926733	0.0	-0.131826371		Well_8
5336.6732	74.172531128	20.717559814	2.137087822	0.0	-0.103592761	129.96730042	Well_8
5336.8732	76.270797729	21.797250748	2.112101078	0.0	-0.042839739	131.41099548	Well_8
5337.0732	75.622573853	21.918842316	2.1419181824	0.0303259846	0.0180204585	130.23869324	Well_8
5337.2732	71.140075684	24.050127029	2.1272950172	0.1808682531	0.0076240851	125.58589935	Well_8
5337.4732	68.363243103	26.69380188	2.1047024727	0.1753349155	-0.002014428	121.91639709	Well_8
5337.6732	66.329368591	25.233854294	2.0568022728	0.1775803119	-0.019907251	119.62660217	Well_8
5337.8732	66.758003235	23.385267258	2.0309188366	0.18994461	-0.018098604	118.38680267	Well_8
5338.0732	68.250701904	25.030090332	2.0152668953	0.2034068257	-0.00975931	120.93119812	Well_8
5338.2732	70.932319641	26.867483139	2.0185031891	0.2104503959	0.0105127925	126.29879761	Well_8
5338.4732	73.707038879	23.999664307	1.9447740316	0.2040566951	0.0045245085	129.55110168	Well_8
